Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Kota Palopo,2019,4453718.16,131520.38,1163621.93,3184575.81,3178.8,-994134.04,7942481.04
Buton,2019,2130442.17,52391.23,612527.58,1422275.68,919.8,-380034.16,3838522.3
Muna,2019,4414028.32,70693.08,1329051.26,2449818.96,95963.42,-1430931.73,6928623.3
Konawe,2019,5568436.03,113677.57,1532485.54,3148492.64,1992.47,-850727.69,9514356.57
Kolaka,2019,6386968.42,160678.44,1076570.29,12289830.79,2691.7,5974667.18,25891406.81
Konawe Selatan,2019,6576358.05,184478.36,1405842.11,4172146.57,15109.21,-248888.63,12105045.68
Bombana,2019,3322981.89,84036.08,752640.97,1996715.68,49845.56,179200.27,6385420.45
Wakatobi,2019,2093722.15,71011.93,997997.44,1265815.6,-1613.36,-71078.99,4355854.77
Kolaka Utara,2019,3969872.4,74368.43,757849.16,3359469.58,8800.28,503858.59,8674218.43
Buton Utara,2019,1359930.65,25901.16,612310.26,1210517.39,6387.95,-84143.28,3130904.14
Konawe Utara,2019,1393589.58,54561.97,541611.63,1047698.6,28165.48,860401.65,3926028.91
Kolaka Timur,2019,2864590.36,37453.0,448242.91,1669473.58,31009.27,-623616.81,4427152.31
Konawe Kepulauan,2019,730831.9,16408.74,464431.43,451674.23,8865.36,-287810.89,1384400.77
Muna Barat,2019,2238579.87,32797.68,425038.79,1192015.87,20881.1,-1320307.87,2589005.44
Buton Tengah,2019,1444867.15,28735.51,335516.68,951450.0,913.08,-424240.28,2337242.14
Buton Selatan,2019,1671713.77,35015.49,394151.24,1117038.1,1183.33,-314072.91,2905029.02
Kota Kendari,2019,12284748.05,217429.77,5853568.25,9318543.26,-498552.3,-5022230.39,22153506.64
Kota Baubau,2019,5239617.49,104763.98,1359467.1,4118439.06,174596.44,-1959052.79,9037831.28
Boalemo,2019,3274094.72,30861.26,1028329.01,1042549.96,147958.47,-112611.65,5411181.78
Gorontalo,2019,8086079.25,108739.66,2014382.01,4308307.96,227481.69,-1864151.26,12880839.3
Pohuwato,2019,3766626.54,38638.69,1042742.88,1298731.3,161583.96,313565.65,6621889.02
Bone Bolango,2019,2818863.83,27751.33,1205060.06,1216474.22,138546.38,-828449.98,4578245.84
Gorontalo Utara,2019,2037393.4,53089.45,710433.27,1009768.39,62391.92,-504027.3,3369049.12
Kota Gorontalo,2019,5532674.64,54040.08,2809655.68,2848474.69,171970.0,-2964039.42,8452775.68
Majene,2019,2989376.17,55646.19,1102436.74,1346245.1,-80598.05,-442367.6,4970738.55
Polewali Mandar,2019,7740021.12,72962.71,1731103.3,3541991.68,434686.27,-150906.27,13369858.8
Mamasa,2019,2056296.5,55087.39,964365.05,872625.25,-72597.83,-898009.94,2977766.41
Mamuju,2019,5753193.32,85388.92,2912160.29,3718264.02,355212.52,-1102524.52,11721694.55
Mamuju Utara,2019,2802573.31,47747.72,769081.52,3545748.09,-291322.42,3220323.08,10094151.31
Mamuju Tengah,2019,1881444.72,37312.75,517528.09,806948.16,94434.22,-191277.09,3146390.86
Maluku Tenggara Barat,2019,2142487.25,108315.23,1462193.75,1415062.16,34635.9,-2478450.47,2684243.81
