Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Samosir,2020,2668776.41,108954.35,978445.11,630465.63,194902.33,-38691.34,4542852.48
Serdang Bedagai,2020,16035578.64,341680.59,2472027.55,7264108.58,669485.81,1819575.06,28602456.24
Batu Bara,2020,14297541.36,285496.65,1857901.64,6834351.33,850156.81,10862193.96,34987641.76
Padang Lawas Utara,2020,7203404.71,156395.39,1013510.34,2870625.37,75547.72,870191.71,12189675.24
Padang Lawas,2020,5577058.81,113052.62,842856.42,2666483.63,56608.66,2741041.06,11997101.2
Labuhan Batu Selatan,2020,12841917.05,144376.95,1053968.55,7515105.55,1024002.63,5619597.57,28198968.3
Labuhan Batu Utara,2020,11538390.91,222748.15,1242517.82,6720868.34,624219.61,4842499.39,25191244.23
Nias Utara,2020,2835073.21,59415.12,763879.55,1126359.69,112587.69,-1187279.36,3710035.91
Nias Barat,2020,1497499.32,79226.84,466654.51,535659.42,85033.5,-741538.37,1922535.21
Kota Sibolga,2020,3345034.33,106318.54,673905.4,1045305.76,115550.05,319352.43,5605466.51
Kota Tanjung Balai,2020,4768550.53,120529.31,905800.5,2956590.75,323916.1,105150.96,9180538.15
Kota Pematang Siantar,2020,8148938.97,383802.58,1537867.17,3453658.18,433853.04,-38030.17,13920089.77
Kota Tebing Tinggi,2020,4194447.8,22262.04,1120310.45,2284372.44,67686.16,-1639915.77,6049163.1
Kota Medan,2020,106209556.7,746447.14,9729731.98,98713272.5,2391678.49,24407554.81,242198241.7
Kota Binjai,2020,6854458.9,171802.41,724369.73,3791702.26,137588.71,89143.11,11769065.12
Kota Padangsidimpuan,2020,4048489.22,221963.92,1246838.05,2343552.04,79305.82,-1461486.16,6478662.9
Kota Gunungsitoli,2020,3983191.69,119374.34,526918.33,1659065.36,16832.62,-529267.46,5776114.88
Kepulauan Mentawai,2020,2368836.86,41610.66,778184.14,1394199.75,628.91,63638.85,4647099.18
Pesisir Selatan,2020,7432020.06,158856.35,1602323.11,4184544.27,17369.24,700864.59,14095977.62
Solok,2020,7493122.86,121201.94,1425313.4,4192186.7,9262.74,340880.94,13581968.58
Sijunjung,2020,4948219.11,74286.86,931024.78,2999131.97,9859.67,174037.32,9136559.73
Tanah Datar,2020,7492535.89,165516.62,1504784.44,4127989.39,3618.84,-271337.58,13023107.59
Padang Pariaman,2020,10683044.18,227226.65,1685832.97,5954113.36,1644.36,-617046.92,17934814.6
Agam,2020,11189357.83,232752.44,1597931.83,6003456.2,1095.88,1351976.07,20376570.25
Lima Puluh Kota,2020,8402203.28,170764.75,1387114.73,4789530.07,1494.45,790393.53,15541500.82
Pasaman,2020,4786526.01,101634.17,1040051.27,2746349.09,6929.93,288233.55,8969724.02
Solok Selatan,2020,3056933.49,66816.77,660268.43,1656231.64,860.0,89443.26,5530553.59
Dharmasraya,2020,5811097.14,107413.16,912437.57,3080437.21,2417.07,329472.11,10243274.28
Pasaman Barat,2020,8694125.05,192107.52,1368795.0,4772051.04,721.84,225200.39,15253000.84
Kota Padang,2020,31463857.33,706582.32,9165918.11,18233665.01,63500.32,2547482.99,62181006.08
Kota Solok,2020,2102973.93,43398.89,662414.76,1081284.83,436.75,151130.67,4041639.82
Kota Sawah Lunto,2020,2059425.35,42044.86,655959.69,962440.02,9574.22,-72853.16,3656590.97
Kota Padang Panjang,2020,1853430.83,39946.22,628484.46,1084773.12,15268.13,-148671.84,3473230.92
Kota Bukittinggi,2020,4725193.55,84935.71,1144444.9,2391092.36,23189.24,258677.73,8627533.47
Kota Payakumbuh,2020,3249551.22,63542.7,833278.78,1745602.45,185347.32,749772.31,6827094.79
Kota Pariaman,2020,2662263.45,59148.73,664077.72,1397833.77,8948.68,201821.25,4994093.59
Kuantan Singingi,2020,14524545.16,182795.68,1442835.06,15557276.31,153470.42,1822647.84,33683570.47
Indragiri Hulu,2020,17280381.74,255151.78,1585508.35,16697983.68,584372.7,6046301.69,42449699.95
Indragiri Hilir,2020,28900566.52,453164.49,1859739.7,15550875.54,93699.59,18185466.02,65043511.86
Pelalawan,2020,14903824.92,197807.65,1272730.16,8989336.16,1606932.07,23710431.96,50681062.93
Siak,2020,20686820.8,266404.95,1965546.78,20430647.3,1118637.51,32539160.93,77007218.27
Kampar,2020,36541586.76,474601.77,2746194.72,28074553.89,1825865.63,3338995.52,73001798.29
Rokan Hulu,2020,23669449.85,335040.16,1451141.73,9021333.94,556264.56,1053772.78,36087003.01
Bengkalis,2020,28780548.49,380080.1,3229845.71,24639481.58,270104.52,57283934.28,114583994.7
Rokan Hilir,2020,24685084.14,395970.4,1822377.9,7878642.51,1993677.8,31116609.96,67892362.7
Kepulauan Meranti,2020,7184019.37,158183.92,603313.87,4582762.47,74119.16,5463788.41,18066187.19
Kota Pekanbaru,2020,60753450.52,1329320.38,9134952.33,96579181.5,2319677.98,-54629681.32,115486901.4
Kota Dumai,2020,12243569.55,174918.49,2151366.57,16210568.19,1571734.11,3961573.16,36313730.07
Kerinci,2020,5576934.31,62635.11,1251291.57,2243379.74,31324.29,1294706.13,10460271.15
Merangin,2020,9677640.28,57739.65,1208817.09,3795824.05,51902.37,878957.46,15670880.89
Sarolangun,2020,8402795.77,85462.53,984177.43,5711958.38,38816.74,-793786.6,14429424.24
Batang Hari,2020,8151036.47,68550.04,1138927.09,3864436.23,72549.87,3097304.61,16392804.31
Muaro Jambi,2020,10563430.58,111146.72,1794930.35,4336269.59,353566.35,7223044.79,24382388.38
Tanjung Jabung Timur,2020,6209013.18,91217.51,1268454.77,3616086.92,140685.82,8237808.72,19563266.92
Tanjung Jabung Barat,2020,9782987.23,84102.19,1108242.41,5326057.47,353678.89,20478785.85,37133854.04
Tebo,2020,8255833.54,101389.07,960823.83,3544010.13,63864.0,1812063.74,14737984.32
Bungo,2020,9957433.59,107055.88,1196063.46,5676438.62,125400.14,243361.56,17305753.26
Kota Jambi,2020,17679415.85,484446.38,6495212.7,6862879.12,139036.86,-2195841.08,29465149.83
Kota Sungai Penuh,2020,3358065.97,46395.9,518707.13,1891328.84,110277.17,1637473.3,7562248.32
Ogan Komering Ulu,2020,10248208.55,219089.6,1222316.08,5796093.37,-65318.57,-2605299.41,14815089.63
Ogan Komering Ilir,2020,18727709.02,446015.4,2203465.92,8873201.9,-174566.94,-783859.75,29291965.54
Muara Enim,2020,35807627.04,1081425.31,2421960.76,15770486.34,-1057218.95,3469272.69,57493553.19
Lahat,2020,12995508.63,305343.61,2904279.61,6112306.06,-186317.46,-4900549.16,17230571.29
Musi Rawas,2020,13719632.76,251325.5,1710629.19,5371208.52,-225728.33,-1589716.28,19237351.36
Musi Banyuasin,2020,46515449.21,1232910.44,3997609.85,20523033.22,-587561.69,-5737556.34,65943884.71
Banyu Asin,2020,19646544.92,390988.56,2034519.75,8216316.74,50859.35,-1238618.24,29100611.08
Ogan Komering Ulu Selatan,2020,5911409.48,105895.89,1141299.93,2877065.25,97035.2,-1160974.96,8971730.78
Ogan Komering Ulu Timur,2020,10901923.72,180050.44,1540357.95,5189849.45,706.87,-2530347.94,15282540.5
Ogan Ilir,2020,7025849.61,158200.57,1432354.44,3307847.86,843.12,-596618.89,11328476.71
Empat Lawang,2020,3228619.83,88775.63,834458.26,1666386.88,7818.54,-741907.45,5084151.68
Penukal Abab Lematang Ilir,2020,4785157.42,132176.04,342834.72,2349117.53,47193.87,-526749.61,7129729.96
Musi Rawas Utara,2020,5565547.28,100864.44,665297.57,2161132.24,90252.41,-1388946.22,7194147.71
Kota Palembang,2020,92097719.06,1871778.87,7896393.23,67496034.29,45538.74,-14203552.39,155203911.8
Kota Prabumulih,2020,5137769.35,125641.0,969707.99,3177429.68,3623.97,-1546848.84,7867323.17
Kota Pagar Alam,2020,2258357.33,55102.83,467801.92,1082866.42,-29060.03,-1004714.99,2830353.47
Kota Lubuklinggau,2020,4176254.86,105990.19,803457.08,2938917.15,73114.43,-1379752.19,6717981.52
Bengkulu Selatan,2020,3537664.64,145767.09,1209914.92,2282683.9,34414.19,-1390669.64,5819775.1
Rejang Lebong,2020,6014875.36,186462.79,1217866.93,3280674.61,123839.25,-1286420.17,9537298.77
Bengkulu Utara,2020,5417776.78,146950.56,1232749.18,3723192.48,116095.79,-2220449.47,8416315.32
Kaur,2020,2344640.02,88701.0,774509.34,2157670.56,22965.58,-1776149.76,3612336.74
Seluma,2020,3009164.88,70109.7,852384.87,2678050.41,94160.64,-1973425.1,4730445.4
Mukomuko,2020,3390870.41,126083.22,820735.59,2938112.23,83296.76,-2092149.48,5266948.73
Lebong,2020,2252629.83,111244.14,731039.39,2080994.83,12847.36,-1787893.35,3400862.2
Kepahiang,2020,2778164.44,123649.58,729622.84,1944395.42,81744.88,-1247764.87,4409812.3
Bengkulu Tengah,2020,2923525.82,63908.52,575921.26,2119914.54,61862.99,-1073029.06,4672104.07
Kota Bengkulu,2020,14400379.13,645463.16,6244188.0,7005089.94,394552.84,-5191178.22,23498494.85
Lampung Barat,2020,5588001.21,199716.82,1331182.82,2641201.46,14811.76,-2643020.54,7131893.53
Tanggamus,2020,11030427.9,243967.49,1650484.14,3853351.27,52072.09,-1362647.04,15467655.86
Lampung Selatan,2020,24846395.95,625459.33,2144861.5,16129379.75,450758.92,96149.17,44293004.62
Lampung Timur,2020,26458655.83,682311.25,2435484.25,13062131.03,-145079.21,-1820438.46,40673064.7
Lampung Tengah,2020,38058277.25,946845.79,2565840.73,24235405.55,856605.52,4407444.75,71070419.6
Lampung Utara,2020,14585472.1,737502.72,1672599.18,7788142.38,2324.59,-1020122.02,23765918.96
Way Kanan,2020,8940774.58,214898.37,1129511.21,4506260.38,26639.61,-832562.44,13985521.71
Tulangbawang,2020,13631492.3,354352.51,1119815.94,8091216.68,34497.47,-149217.56,23082157.34
Pesawaran,2020,9325112.5,225106.28,1119807.35,5029773.76,182342.4,329596.63,16211738.92
Pringsewu,2020,9505364.21,194066.09,870848.3,3424248.99,169108.41,-2997473.48,11166162.52
Mesuji,2020,6001822.42,148760.38,514565.35,3152796.97,4096.34,568712.35,10390753.81
Tulang Bawang Barat,2020,7596769.24,144708.55,685803.41,3661790.12,51864.0,-720594.31,11420341.01
Pesisir Barat,2020,3279169.86,87024.0,146502.28,1017882.66,11084.55,135879.34,4677542.69
Kota Bandar Lampung,2020,36128238.46,1000935.56,11251508.35,19053611.2,188373.22,-8753230.07,58869436.72
Kota Metro,2020,4555755.74,122743.56,969059.49,1360856.69,23585.41,-742457.95,6289542.94
Bangka,2020,10039581.02,96352.35,1297546.94,3383436.36,9808.64,-893787.62,13932937.7
Belitung,2020,5984721.2,81267.65,1205876.91,2868287.55,10444.6,-323777.0,9826820.91
Bangka Barat,2020,7730736.38,85334.0,908156.96,2856345.92,7462.52,1826943.95,13414979.73
Bangka Tengah,2020,6545245.78,78659.94,1148962.99,2581689.33,3983.92,-1911521.41,8447020.56
Bangka Selatan,2020,6219753.5,65681.01,806999.38,2559634.15,10343.24,-983336.46,8679074.82
Belitung Timur,2020,4664349.95,61717.12,1007569.38,2373513.83,8362.12,-281773.75,7833738.65
Kota Pangkal Pinang,2020,7272117.83,138465.51,2175203.36,4361297.69,9015.54,-501451.19,13454648.74
Karimun,2020,8636975.42,144598.56,1644001.45,5069368.5,12751.74,-2197065.49,13310630.17
Bintan,2020,11001203.26,26609.22,1781742.08,12333302.08,11270.28,-4410429.3,20743697.61
Natuna,2020,3976342.02,12878.39,1998921.08,3524374.36,8527.31,8884870.06,18405913.23
Lingga,2020,2646028.97,16454.42,967024.41,1696642.42,6410.99,-1040127.87,4292433.34
Kepulauan Anambas,2020,2258450.41,11754.36,1512073.5,3167500.67,5140.0,7498662.8,14453581.75
Kota Batam,2020,66091193.96,366427.29,2523815.7,76698358.12,23312.46,15661074.76,161364182.3
Kota Tanjung Pinang,2020,12159873.68,74589.14,3845144.26,8933024.13,13915.73,-5361534.54,19665012.39
Kep. Seribu,2020,2742887.94,843605.84,555156.89,349973.16,-131670.15,2056532.0,6416485.68
Kota Jakarta Selatan,2020,416834983.5,15672181.84,132514185.8,213708904.3,-5721422.57,-129446981.0,643561851.9
Kota Jakarta Timur,2020,418930920.4,11990785.76,23311204.56,159708185.3,-16225141.44,-127720923.9,469995030.7
Kota Jakarta Pusat,2020,161285048.9,7606688.54,217606132.0,190607715.6,-4295396.69,127980522.7,700790711.0
Kota Jakarta Barat,2020,396004759.0,10020745.76,19445429.23,206809884.7,-7661857.99,-155565659.2,469053301.5
Kota Jakarta Utara,2020,315430712.9,13778079.29,19686370.6,208797599.0,-24439680.11,-36583394.18,496669687.6
Bogor,2020,158114064.3,1428627.52,7378788.92,48598399.83,1341140.97,19026236.33,235887257.9
Sukabumi,2020,43796961.28,342660.42,3796866.73,18159546.18,1292217.27,73921.1,67462172.98
Cianjur,2020,36226777.0,111836.0,3247002.44,11131744.56,557243.06,-3739136.38,47535466.67
Bandung,2020,99719667.09,589507.25,5564778.89,23516693.93,1267319.86,-7055189.25,123602777.8
Garut,2020,46572852.85,318929.6,4205497.75,13810413.49,763979.5,-7628499.06,58043174.12
Tasikmalaya,2020,31578074.23,573086.52,3303881.51,7175686.4,821819.95,-6009100.86,37443447.75
Ciamis,2020,22062545.25,386253.58,2777615.87,7356659.15,408958.79,-1017627.61,31974405.03
Kuningan,2020,21054337.59,606198.79,3030977.45,5904433.04,270228.19,-5247308.42,25618866.65
Cirebon,2020,44189185.06,945035.14,3527796.28,14704553.35,829662.15,-14634669.07,49561562.9
Majalengka,2020,23135001.2,188750.65,2808044.75,10947530.87,508122.33,-5408232.75,32179217.04
Sumedang,2020,24372637.94,522765.63,3148243.68,8091987.36,648043.76,-1294595.7,35489082.66
Indramayu,2020,34608234.44,241094.77,3369697.83,12328942.81,1464640.97,27273618.83,79286229.64
Subang,2020,29571802.75,314109.03,3711591.92,10103626.93,635036.25,-4187848.79,40148318.1
Purwakarta,2020,35289460.37,261993.83,2673528.3,14711075.46,897835.39,13137696.8,66971590.15
Karawang,2020,88952253.96,456738.68,5233805.14,35891517.55,2009048.22,90878715.08,223422078.6
Bekasi,2020,126262021.7,512240.52,5355490.84,64471253.52,1888408.97,119144408.8,317633824.3
Bandung Barat,2020,31260367.8,443138.18,2948568.99,9354539.55,661739.37,1810542.71,46478896.6
Pangandaran,2020,6568047.8,93043.93,1046353.4,2531366.21,278034.36,981388.77,11498234.46
Kota Bogor,2020,45013833.61,765207.43,4952118.36,14605097.61,855786.02,-20280178.9,45911864.14
Kota Sukabumi,2020,9860163.15,550329.48,1435190.83,1913675.08,203971.56,-1561789.51,12401540.58
Kota Bandung,2020,170404810.8,1718522.13,30779265.97,72270250.21,4771336.34,3682555.74,283626741.1
Kota Cirebon,2020,13072951.49,462069.57,2802970.94,6098724.72,613731.67,378343.66,23428792.05
Kota Bekasi,2020,109145581.1,324813.38,4564293.62,33256329.6,1617116.95,-52415856.09,96492278.57
Kota Depok,2020,88960304.68,793974.23,2721714.81,36626317.42,1144182.51,-59860162.93,70386330.72
Kota Cimahi,2020,23316589.8,75288.08,1806895.93,10068156.44,493100.45,-3549351.67,32210679.03
Kota Tasikmalaya,2020,15559840.04,508265.84,2359901.88,6837085.7,283755.8,-3959489.87,21589359.4
Kota Banjar,2020,3831387.1,55131.54,1131313.94,1324046.77,82523.35,-1979284.07,4445118.63
Cilacap,2020,45025977.21,582627.06,3121203.24,22137165.68,486088.86,33189597.5,104542659.5
Banyumas,2020,35870460.21,644374.69,4367657.23,19559341.48,164292.06,-6924013.3,53682112.37
Purbalingga,2020,17828879.16,393518.39,1696226.68,5139273.26,855858.32,-820073.53,25093682.28
Banjarnegara,2020,16648148.48,419139.52,1769823.12,4804135.47,81025.81,-2027896.63,21694375.77
Kebumen,2020,20715265.57,517264.28,2484186.22,5543124.2,817140.18,-2062074.75,28014905.7
Purworejo,2020,14602691.18,378993.46,1895465.05,4864594.49,244275.39,-3339534.55,18646485.02
Wonosobo,2020,14578399.31,368019.13,1499759.59,3591407.23,345881.54,-1544787.73,18838679.07
Magelang,2020,23435081.02,663166.12,2534883.09,9120314.65,370981.48,-3662396.26,32462030.1
Boyolali,2020,25524126.45,515800.43,2134736.2,6785806.9,398980.04,-2671860.12,32687589.9
Klaten,2020,30093896.22,649584.75,2739242.38,8288502.39,237106.98,-2068692.34,39939640.38
Sukoharjo,2020,25431000.96,435379.49,1971593.93,8684869.91,102489.01,265200.12,36890533.42
Wonogiri,2020,20608079.14,622172.03,2224178.6,6115102.17,183314.22,-586314.63,29166531.53
Karanganyar,2020,25547434.71,489785.0,1946117.73,8388090.17,661089.69,-9063.91,37023453.39
Sragen,2020,26404317.87,487749.27,2265277.69,8670737.21,606631.76,-583723.12,37850990.68
Grobogan,2020,22999723.4,525825.3,2438243.88,4386735.99,51201.28,-3132985.34,27268744.5
Blora,2020,16904412.81,374924.7,2155491.1,2815616.79,100838.31,1652926.35,24004210.06
Rembang,2020,13613167.54,295039.34,1586857.68,4194874.67,732138.02,-1478428.45,18943648.8
Pati,2020,30938290.6,546592.85,2798694.97,9861663.18,402466.5,-1259142.28,43288565.81
Kudus,2020,27855583.25,346114.82,2038753.59,13986290.57,1261150.12,64050666.25,109538558.6
Jepara,2020,26156310.76,531692.58,2297825.34,11402952.95,186078.7,-10399689.79,30175170.54
Demak,2020,20062713.16,443545.43,2259423.43,7508313.57,231067.81,-3958996.99,26546066.41
Semarang,2020,28696720.41,537068.8,3268028.29,20044300.44,407253.88,-3906655.25,49046716.57
Temanggung,2020,15586213.11,389851.21,1572142.75,3533134.76,738044.59,-262309.28,21557077.14
Kendal,2020,25246209.75,427221.28,2074341.45,11760182.31,447826.34,2630405.56,42586186.69
Batang,2020,15568041.1,352637.8,1527434.99,6116316.15,421481.68,-2364548.9,21621362.81
Pekalongan,2020,17294592.16,390400.09,1791438.21,5237970.53,406175.39,-2317385.88,22803190.5
Pemalang,2020,20951857.46,464381.63,2081355.45,3524219.0,195116.85,-1396117.05,25820813.34
Tegal,2020,29193935.73,517536.33,2310833.44,8292481.12,280053.23,-5294861.98,35299977.86
Brebes,2020,35732531.27,635851.36,2675414.73,6158319.68,65943.83,1790534.73,47058595.6
Kota Magelang,2020,4987232.7,119069.55,1552136.57,4328126.24,88254.69,-2361661.21,8713158.54
Kota Surakarta,2020,24540847.18,288158.68,4566198.15,30617430.67,300062.23,-12690876.38,47621820.53
Kota Salatiga,2020,8539315.57,136711.49,1251531.67,6284915.05,126239.64,-3066872.06,13271841.36
Kota Semarang,2020,79647650.13,1437726.95,23103383.48,124161147.2,942294.74,-40560508.68,188731693.9
Kota Pekalongan,2020,7355262.46,141629.35,994283.14,4130963.43,30123.67,-1803389.18,10848872.87
Kota Tegal,2020,8011295.78,128094.61,1318488.45,6832546.17,67555.05,-1133295.44,15224684.62
Kulon Progo,2020,7500245.91,385437.49,1824231.9,6209554.93,52993.03,-4234341.65,11738121.61
Bantul,2020,19961548.9,881397.47,3617818.17,6464734.56,214597.35,-5003081.02,26137015.43
Gunung Kidul,2020,13503531.62,244136.08,3136311.97,5401525.35,214217.55,-3563551.06,18936171.51
Sleman,2020,30747340.0,970630.0,6775627.85,17147271.0,745458.0,-10731607.24,45654719.61
Kota Yogyakarta,2020,20985947.87,1898269.57,7432194.42,8940397.98,420017.0,-3952780.63,35724046.2
Pacitan,2020,12112080.68,353464.44,1558570.62,6645918.77,17819.71,-4902656.01,15785198.22
Ponorogo,2020,14513645.23,494710.48,2134904.16,5637384.18,6302.36,-2273569.11,20513377.29
Trenggalek,2020,13147519.59,766834.8,1928475.85,3514368.9,7788.69,-1050526.57,18314461.26
Tulungagung,2020,26406753.03,656479.92,2750373.37,10881418.48,15753.78,-2484792.82,38225985.76
Blitar,2020,24752096.09,780089.23,2770393.52,10101750.26,12327.99,-2392693.66,36023963.44
Kediri,2020,30176959.47,1007836.03,2960669.87,13332788.33,120489.18,-6971972.91,40626769.97
Malang,2020,65049798.23,2604008.39,4101303.05,32962376.36,48498.4,-2738152.8,102027831.6
Lumajang,2020,22124552.03,378681.86,1917249.08,6957221.11,492406.38,191894.97,32062005.43
Jember,2020,52588267.89,1437645.15,3663445.74,13888655.11,990150.8,3471818.07,76039982.77
Banyuwangi,2020,54148088.2,1356673.24,5744984.04,26168072.41,154570.27,-6469508.85,81102879.31
Bondowoso,2020,14593416.77,377827.79,1878194.1,5329155.28,67530.17,-2310531.28,19935592.83
Situbondo,2020,14162193.59,272580.99,1981135.87,4676468.19,56290.8,-1106814.45,20041854.99
Probolinggo,2020,22930713.53,331989.05,2103730.57,9517559.08,56940.56,-1219858.09,33721074.7
Pasuruan,2020,89552485.72,1026523.43,2874584.89,48935616.3,478134.18,2724673.7,145592018.2
Sidoarjo,2020,114799604.0,2381622.85,14815275.32,60322720.29,633952.39,4287515.96,197240690.8
Mojokerto,2020,46419574.88,1004522.27,2129139.72,23272789.06,489649.1,8625182.88,81940857.92
Jombang,2020,29248803.97,1067028.38,2870565.3,12625717.62,234811.28,-6176045.18,39870881.37
Nganjuk,2020,18618414.9,404346.43,2317306.34,7604124.39,276244.99,-2619275.24,26601161.82
Madiun,2020,13675645.38,398018.02,1742226.25,6660684.93,124238.14,-3434251.26,19166561.45
Magetan,2020,13586515.68,235006.43,1897362.43,4268563.98,39420.3,-1255106.17,18771762.65
Ngawi,2020,14541381.69,234522.32,2098351.35,4622008.57,24504.67,-1249796.71,20270971.9
Bojonegoro,2020,30372585.1,266294.58,2499131.17,15548797.6,93183.63,21478521.08,70258513.15
Tuban,2020,34398795.41,533621.62,2626014.93,23881281.25,129871.6,753483.35,62323068.16
Lamongan,2020,28128332.26,965218.91,2688932.79,12303072.07,49454.17,-4965424.25,39169585.94
Gresik,2020,81539976.7,967294.0,3363602.02,32801755.69,2228341.07,13367588.93,134268558.4
Bangkalan,2020,16435170.05,265364.06,1987593.8,7763188.26,212226.85,-3373537.17,23290005.86
Sampang,2020,13629003.29,332694.91,1902588.23,5650686.1,2669.09,-1675068.24,19842573.38
Pamekasan,2020,12121869.92,251737.61,2098905.67,5192692.18,56094.71,-2927453.1,16793846.98
Sumenep,2020,23098222.18,313624.91,2566415.02,8388922.06,1374.5,-1618316.52,32750242.14
Kota Kediri,2020,22377107.44,268724.88,1600613.94,21841360.88,1360432.99,84957820.95,132406061.1
Kota Blitar,2020,4548171.01,78045.74,1547622.72,1347085.82,1552.41,-814332.77,6708144.94
Kota Malang,2020,49668544.71,371897.54,2306875.82,24656879.78,280294.39,-5121303.72,72163188.51
Kota Probolinggo,2020,8268645.16,207775.81,1206407.93,2129618.17,11303.98,-749247.72,11074503.33
Kota Pasuruan,2020,5585502.44,209373.94,1024875.35,1699383.11,1334.97,-473241.42,8047228.39
Kota Mojokerto,2020,4640562.22,60735.12,1060615.21,2325805.86,248.82,-1499909.52,6588057.71
Kota Madiun,2020,9898917.83,161439.04,1202049.75,2835301.77,133888.57,-711712.11,13519884.86
Kota Surabaya,2020,340833465.7,4984363.69,22158828.9,157176091.8,2846332.08,26510375.26,554509457.4
Kota Batu,2020,10177262.47,375389.32,1230093.99,5119692.46,464.54,-986104.01,15916798.76
Pandeglang,2020,18899912.25,485723.17,2246894.33,2125403.11,301.73,4612815.53,28371050.11
Lebak,2020,20906737.04,530150.42,2251397.38,1708653.26,13.59,3658059.87,29055011.56
Tangerang,2020,71693730.68,679685.9,4621839.02,35450044.41,716.21,23285665.67,135731681.9
Serang,2020,42279618.79,469018.7,2168002.73,29958902.99,301.51,1004879.93,75880724.65
Kota Tangerang,2020,88958400.07,415756.12,3176017.69,53747134.81,1595.08,-3276140.04,143022763.7
Kota Cilegon,2020,21081272.74,59200.56,1605996.83,45336261.62,3303.59,34645733.23,102731768.6
Kota Serang,2020,22062411.59,109326.61,10086037.05,11650640.17,321.01,-12242641.46,31666094.97
Kota Tangerang Selatan,2020,59802008.12,168655.1,1293094.83,38169268.08,7267.91,-16908822.51,82531471.53
Jembrana,2020,7159606.1,224318.75,1781212.85,3355998.28,45344.57,871133.33,13437613.88
Tabanan,2020,12658724.41,349848.24,2572544.7,4493778.29,22849.01,2159840.24,22257584.9
Badung,2020,24368640.22,321107.18,4361345.45,19929397.16,143684.88,-98147.61,49026027.29
Gianyar,2020,14244119.36,255376.13,2195304.0,9307322.15,37843.71,-198244.22,25841721.14
Klungkung,2020,4803247.9,129242.85,1472970.27,2556989.42,18628.75,-530405.4,8450673.79
Bangli,2020,4190838.59,114342.84,1287330.48,2490443.63,18051.65,-1384921.55,6716085.63
Karangasem,2020,9677846.41,311521.13,1766417.86,2305468.94,33618.98,2304901.53,16399774.86
Buleleng,2020,17619705.12,598462.4,3582245.54,7829408.57,46587.32,3626312.5,33302721.44
Kota Denpasar,2020,25212938.5,795296.48,8396252.2,16037899.49,92427.28,-927352.1,49607461.84
Lombok Barat,2020,11094912.6,311285.97,2326594.04,5533025.34,60106.87,-4758660.08,14567264.74
Lombok Tengah,2020,12296654.42,210003.69,2417013.54,8307246.24,51387.71,-6615681.7,16666623.89
Lombok Timur,2020,15097838.84,623732.6,3157175.91,7238847.84,75061.05,-6173619.94,20019036.31
Sumbawa,2020,10176727.53,204725.82,2014723.76,5845998.83,95632.04,-3891557.85,14446250.14
Dompu,2020,4799423.87,109617.38,1740463.74,2707541.31,29753.79,-2322440.57,7064359.52
Bima,2020,7798944.91,177905.17,2247208.68,4495910.85,48721.3,-3362280.33,11406410.58
Sumbawa Barat,2020,3477102.86,135889.86,1367304.88,5117386.27,393711.37,12272801.57,22764196.8
Lombok Utara,2020,3507028.68,64832.2,1308602.2,1790838.23,14508.92,-2136705.77,4549104.46
Kota Mataram,2020,11549647.68,258706.06,3030508.18,6827896.3,39462.38,-3036612.93,18669607.67
Kota Bima,2020,2727356.98,82230.01,1456596.34,1473940.92,20590.88,-1627627.75,4133087.39
Sumba Barat,2020,1738608.46,76003.59,846041.35,811780.59,57931.69,-1178829.46,2351536.21
Sumba Timur,2020,3601392.93,208164.5,1551330.26,2471787.19,69522.71,-1647828.35,6254369.23
Kupang,2020,3923738.64,219659.26,1750026.35,2786778.59,3981.09,-1046795.87,7637388.05
Timor Tengah Selatan,2020,5554302.58,153425.92,1468786.52,2599204.73,84578.78,-1917537.47,7942761.08
Timor Tengah Utara,2020,3051914.43,152615.1,887574.11,1903347.67,72893.64,-1986070.48,4082274.46
Belu,2020,3084349.85,91070.28,1108115.91,1808100.95,101894.9,-1643824.7,4549707.19
Alor,2020,2260376.43,95549.16,1292114.39,1336034.79,29038.48,-1960328.5,3052784.74
Lembata,2020,1377424.45,59386.32,841746.37,512840.68,10468.41,-947593.32,1854272.91
Flores Timur,2020,4049789.44,193322.97,1391216.87,1367413.92,18859.29,-1751072.32,5269530.16
Sikka,2020,3928276.69,160920.47,1232896.9,2218994.12,31764.49,-2460833.94,5112018.75
Ende,2020,4133422.54,161589.87,1379327.2,3107406.42,58867.61,-2765403.29,6075210.35
Ngada,2020,2178394.91,106026.32,844042.88,908940.26,136902.05,-680651.36,3493655.06
Manggarai,2020,3041939.6,184634.89,1307922.69,2014011.5,54484.29,-1956785.42,4646207.55
Rote Ndao,2020,1885502.11,112061.98,911315.15,1001740.49,53458.3,-794643.62,3169434.41
Manggarai Barat,2020,3147155.61,58556.69,969326.15,2256530.67,26724.86,-2938923.98,3519370.01
Sumba Tengah,2020,885814.17,43275.64,611137.78,493050.3,22357.29,-859776.36,1195858.81
Sumba Barat Daya,2020,2817994.01,149773.39,935614.32,1097690.19,20913.09,-1252882.77,3769102.22
Nagekeo,2020,1695885.95,158168.95,1068743.84,725679.87,33459.17,-1410032.77,2271905.01
