Kota Lhokseumawe;4763944.95;4769250.65;4894818.51;122642.22;125433.47;122997.92;1545096.85;1476648.71;1613578.62;4210953.42;4360765.41;4417527.23;108565.08;84864.38;88652.72;-1852822.83;-1949696.13;-1706189.12;8898379.69;8867266.49;9431385.89
Kota Subulussalam;1270135.41;1310238.88;1346392.96;54918.71;56026.16;55298.47;598591.91;580477.71;622367.57;982500.32;1054990.63;1102650.14;-13911.21;-29818.6;-7485.27;-1165311.02;-1168236.36;-1008274.73;1726924.11;1803678.42;2110949.14
Nias;3574681.42;3741229.42;3846358.01;144998.39;154617.82;163095.86;829637.11;857112.11;877482.95;977620.43;999907.43;1049721.72;10605.38;12615.38;13518.47;-1712687.82;-1724564.82;-1728314.07;3824854.92;4040917.36;4221862.94
Mandailing Natal;8771993.48;8990282.87;9472808;217261.25;216923.49;218371.11;2225944.17;2161041.22;2266794.79;3104810.2;3066028.09;3234105.87;375856.09;462168.55;489112.53;-1151129.45;-1053443.88;-800770.34;13544735.74;13843000.34;14880421.96
Tapanuli Selatan;6512559.99;6773670.89;7111256.73;104328.16;102711.07;102768.59;1517212.07;1489422.01;1489124.13;5265312.62;5300527.44;5616024.51;133799.17;167120.45;176144.95;399123.08;808705.65;976127.97;13932335.09;14642157.51;15471446.89
Tapanuli Tengah;6775018.31;6855288.08;7235902.27;217105.94;214729.47;217360.53;1021716.78;1020249.57;1020092.92;1857410.79;1887365.73;1994331.03;87715.6;108984.25;112060.11;-2189.86;52216.33;38999.53;9956777.57;10138833.43;10618746.39
Tapanuli Utara;5127194.07;5261941.29;5581691.01;395755.32;399925.4;404433;1311980.12;1302943.37;1337600;3527207.9;3585988.32;3793841;186618;210704.14;240171.98;-2659705.85;-2487068.9;-2557661;7889049.56;8274433.62;8800075.99
Toba Samosir;4262738.33;4287304.65;4470744.98;128851.8;131034.86;136660.16;1146643.69;1137244.43;1155177.63;1624750.09;1620298.66;1756654.8;95943.84;109048.68;116433.72;416459.83;560489.88;630458.38;7675387.58;7845421.15;8266129.67
Labuhan Batu;15926382.38;15724872.93;17230375.6;236854.88;226991.85;217231.98;1394104.12;1336028.45;1462437.1;7742295.42;7863203.76;8332104.61;896827.87;1122790.66;1140813.78;7413964.71;8379291.1;9223915.22;33610429.38;34653178.75;37606878.29
Asahan;20849597.76;20826849.14;21668829.26;459803.69;464000.64;462829.52;2248769.49;2204378.46;2239560.29;10483269.1;10727107.28;11395388.27;450781.56;567630.51;582782.03;2948184.85;3901855.22;5644852.57;37440406.46;38691821.26;41994241.94
Simalungun;21781725.72;21908667.72;22652795.81;440405.71;441827.33;425253.55;2634346.37;2437657.76;2518358.08;9942811.49;10070000.2;10683533.97;353300.83;493273.55;478701.46;2904841.66;4089918.76;5818235.79;38057431.78;39441345.33;42576878.66
Dairi;5167959.82;5204656.57;5396741.46;237062.43;229758.29;231008.3;1083301.07;1057332.34;1054052.32;2553998.7;2576946.27;2656263.1;190741.12;220589.18;219679.2;-66641.89;28628.74;153054.28;9166421.25;9317911.39;9710798.66
Karo;11211886.66;11229950.3;11681165.01;362506.67;359356.79;353340.81;1912997.82;1908850.51;1907300.32;6574585.92;6610301.1;6910120.26;742160.41;859770.98;820292.18;-219411.59;6344.33;151925.35;20584725.88;20974574.01;21824143.93
Deli Serdang;64449015.49;64567218.68;67098444.02;588181.96;594009.08;604967.5;3980836.89;3942807.86;4030549.09;36270889.53;36862781.74;38528103.61;1084478.91;1598813.27;1616278.45;2960737.17;2579613.92;3427965.07;109334140;110145244.5;115306307.7
Langkat;25787227.72;25689946.29;26598108.72;442465.12;429361.36;435310.95;3395975.66;3324286.53;3474624.31;9706254.08;10088065.37;10704476.39;724086.91;999183.24;1013293.15;2459166.94;2677154.79;4075390.23;42515176.42;43207997.58;46301203.75
Nias Selatan;5347412.55;5654010.28;5951024.97;185780.46;191149.87;199016.62;1841206.74;1898501.66;1941048.09;1615684.03;1717949.51;1836394.63;311847.72;376378.71;408119.55;-2440453.84;-2673722.74;-2914974.7;6861477.66;7164267.29;7420629.16
Humbang Hasundutan;3372082.92;3488517.94;3603629;102311.51;107627.61;107757.7;1028307.73;1046544.88;1083065.04;1411830.27;1392089.37;1517831.52;39054.67;45240.68;38723.99;-2324.2;43434.76;5719.64;5951262.9;6123455.25;6356726.89
Pakpak Bharat;647130.87;669363.34;695251;11321.05;11801.02;11600.69;348271.64;358066.62;379792.52;366329.09;371131.93;390223.57;4827.07;5562.83;6381.01;-199664.47;-204573.71;-212533.93;1178215.25;1211352.02;1270714.86
Samosir;2651859.09;2668776.41;2793226.99;104764.05;108954.35;112712.53;974093.99;978445.11;1010982.92;635033.59;630465.63;684484.27;168499.41;194902.33;208598.88;-99528.89;-38691.34;-54772.3;4434721.24;4542852.48;4755233.29
Serdang Bedagai;16391035.93;16035578.64;16635979.99;348010.27;341680.59;345873.14;2487961.39;2472027.55;2614532.93;7114794.13;7264108.58;7726494.26;503565.74;669485.81;649023.71;1114076.22;1819575.06;2446949.82;27959443.68;28602456.24;30418853.85
Batu Bara;14091016.99;14297541.36;14801130.26;287567.13;285496.65;281858.83;1873835.03;1857901.64;1871747.93;6683979.07;6834351.33;7263687.51;624710.94;850156.81;870643.93;10486739.86;10862193.96;12108645.13;34047849.02;34987641.76;37197713.59
Padang Lawas Utara;7070254.71;7203404.71;7644209.99;152700.39;156395.39;156395.39;1023510.34;1013510.34;1096260.31;2835625.37;2870625.37;3074174.39;59747.72;75547.72;82400.18;477893.16;870191.71;1084478.08;11619731.69;12189675.24;13137918.34
Padang Lawas;5462108.81;5577058.81;5977319.95;115652.62;113052.62;113567.6;877856.42;842856.42;851255.02;2674383.63;2666483.63;2873998.54;46858.66;56608.66;59405.47;2195126.36;2741041.06;3263595.14;11371986.51;11997101.2;13139141.72
Labuhan Batu Selatan;12806249.82;12841917.05;13299363.57;142716.7;144376.95;141961.14;1087525.47;1053968.55;1112842.19;7422853.92;7515105.55;7960039.19;768599.16;1024002.63;1033790.1;4904358.78;5619597.57;7206129.15;27132303.86;28198968.3;30754125.33
Labuhan Batu Utara;11506551.31;11538390.91;11980411.91;221734.6;222748.15;215175.91;1264628.92;1242517.82;1285453.4;6611170.97;6720868.34;7050629.34;524843.25;624219.61;633554.46;4249415.09;4842499.39;6235279.38;24378344.14;25191244.23;27400504.4
Nias Utara;2723939.35;2835073.21;2963229.01;55969.02;59415.12;61157.11;740257.52;763879.55;786794.55;1098001;1126359.69;1183673.86;93779.57;112587.69;114025.58;-1195963.2;-1187279.36;-1233813.98;3515983.26;3710035.91;3875066.13
Nias Barat;1461079.32;1497499.32;1538004.01;75026.84;79226.84;83714.38;452674.51;466654.51;479294.25;523959.42;535659.42;554093.97;70806.11;85033.5;93846.75;-766698.37;-741538.37;-728954.06;1816847.82;1922535.21;2019999.3
Kota Sibolga;3295709.9;3345034.33;3455743.11;105760.75;106318.54;106582.25;684915.58;673905.4;684026.86;1044665.51;1045305.76;1082525.9;86895.35;115550.05;118959.8;313596.36;319352.43;348270.21;5531543.45;5605466.51;5796108.12
Kota Tanjung Balai;4725045.66;4768550.53;4926878.33;119822.01;120529.31;125141.29;957728.34;905800.5;900876.07;2972914.2;2956590.75;3065781.35;256139.58;323916.1;357199.32;-80198.83;105150.96;256827.2;8951450.97;9180538.15;9632703.56
Kota Pematang Siantar;8216713.03;8148938.97;8332497.62;381441.45;383802.58;385182.84;1537973.07;1537867.17;1556102.04;3562985.58;3453658.18;3550664.85;388624.15;433853.04;435524.86;-154487.79;-38030.17;-51746.63;13933249.49;13920089.77;14208225.58
Kota Tebing Tinggi;4172534.36;4194447.8;4292559.02;21883.79;22262.04;22493.49;1115194.88;1120310.45;1175180.02;2209191.21;2284372.44;2408551.2;54720.14;67686.16;67009.47;-1649325.03;-1639915.77;-1615847.92;5924199.35;6049163.1;6349945.28
Kota Medan;110402847.2;106209556.7;108899964.5;782590.55;746447.14;772648.04;9939389.57;9729731.98;10271602.55;101177700.7;98713272.5;104890181.8;1616096.34;2391678.49;2470974.33;17563725.55;24407554.81;27416593.48;241482349.9;242198241.7;254721964.7
Kota Binjai;6860347.78;6854458.9;7116357.83;176259.2;171802.41;170680.72;679505.31;724369.73;756261.59;3762146.43;3791702.26;4012244.75;105917.37;137588.71;136012.45;115921.97;89143.11;125590.89;11700098.06;11769065.12;12317148.23
Kota Padangsidimpuan;3942117.2;4048489.22;4196895.42;223187.13;221963.92;222122.01;1247343.83;1246838.05;1270181.93;2333096.26;2343552.04;2485720.12;69377.81;79305.82;80894.67;-1441995.94;-1461486.16;-1471418.4;6373126.29;6478662.9;6784395.75
Kota Gunungsitoli;3740111.42;3983191.69;4086992.03;111349.8;119374.34;120477.17;526486.76;526918.33;544372.26;1599778.11;1659065.36;1783400.61;13388.73;16832.62;17060.1;-477198.16;-529267.46;-534755.66;5513916.66;5776114.88;6017546.51
