,Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
91,Muaro Jambi,2019,10370158.94,110114.77,1831447.1,4342821.03,479615.89,7160835.68,24294993.41
92,Tanjung Jabung Timur,2019,6164293.54,90906.88,1295136.39,3619652.67,143162.69,13367148.0,24680300.18
93,Tanjung Jabung Barat,2019,9791305.97,83657.5,1140172.87,5293779.4,347648.64,26288885.15,42945449.52
94,Tebo,2019,8137493.1,99854.67,988284.25,3629353.9,63907.02,1674542.06,14593435.01
95,Bungo,2019,9729471.07,105875.39,1206908.76,5850099.61,81467.37,922117.58,17895939.78
96,Kota Jambi,2019,17584801.26,482937.16,6626442.29,6855911.98,126902.24,-1040065.06,30636929.87
97,Kota Sungai Penuh,2019,3287812.34,45101.01,519921.13,1968098.84,112278.15,1546212.89,7479424.37
98,Ogan Komering Ulu,2019,10120386.25,228490.93,1736430.71,5629814.11,-17336.57,-3050112.82,14647672.61
99,Ogan Komering Ilir,2019,18607780.11,470922.49,2350457.32,8715006.91,-223180.22,-1168517.75,28752468.86
100,Muara Enim,2019,35438709.44,1131270.11,2849274.09,15075116.6,-366214.95,3205355.15,57333510.43
101,Lahat,2019,12828659.36,314982.09,3011361.71,5961259.92,-329474.92,-4656587.58,17130200.59
102,Musi Rawas,2019,13699591.85,267694.07,1894022.46,5262754.81,117927.88,-2179206.77,19062784.3
103,Musi Banyuasin,2019,46313799.06,1299673.97,4181835.92,19790520.83,104528.92,-5879363.62,65810995.08
104,Banyu Asin,2019,19462097.19,414296.55,2303841.8,7917326.27,12117.65,-1453938.69,28655740.78
105,Ogan Komering Ulu Selatan,2019,5882731.92,106419.3,1290253.71,2809465.74,53465.22,-1356628.66,8785707.21
106,Ogan Komering Ulu Timur,2019,10560536.91,179882.07,1765897.55,5002930.44,534.7,-2573930.62,14935851.05
107,Ogan Ilir,2019,6913660.07,158457.21,1660514.8,3189557.57,-438.04,-762347.92,11159403.69
108,Empat Lawang,2019,3232482.36,94262.05,930029.53,1640085.25,-16901.88,-888878.03,4991079.29
109,Penukal Abab Lematang Ilir,2019,4739740.34,138125.91,486575.05,2279201.36,44611.17,-604573.4,7083680.44
110,Musi Rawas Utara,2019,5539870.51,107298.78,809890.06,2100867.95,-118042.21,-1336190.28,7103694.8
111,Kota Palembang,2019,93798432.58,2001058.58,9098554.59,67119462.12,38877.9,-17836067.69,154220318.1
112,Kota Prabumulih,2019,5070115.38,130271.23,1085946.35,3155670.37,-106569.98,-1544372.64,7791060.71
113,Kota Pagar Alam,2019,2197797.77,59503.34,518937.25,1055120.75,-21338.43,-1018404.51,2791616.17
114,Kota Lubuklinggau,2019,4191741.51,112908.94,941598.12,2972898.59,59765.52,-1635231.56,6643681.12
115,Bengkulu Selatan,2019,3472257.71,152517.79,1183035.92,2252245.54,66721.54,-1419265.13,5707513.37
116,Rejang Lebong,2019,5918493.1,195100.62,1188845.77,3247150.88,145768.38,-1326383.01,9368975.74
117,Bengkulu Utara,2019,5329718.0,154020.68,1204091.82,3689791.2,163161.24,-2290743.18,8250039.75
118,Kaur,2019,2298133.41,93082.78,752148.37,2128302.01,36926.9,-1784085.73,3524507.74
119,Seluma,2019,2960017.66,74053.7,856305.71,2595684.86,90266.39,-1963157.16,4613171.16
120,Mukomuko,2019,3331884.16,132148.85,817571.94,2908217.17,95414.43,-2129967.22,5155269.33
121,Lebong,2019,2217415.01,117187.48,716377.29,2061806.79,19831.49,-1786586.74,3346031.32
122,Kepahiang,2019,2732430.18,129949.37,709797.27,1916388.21,88468.29,-1258103.15,4318930.18
123,Bengkulu Tengah,2019,2874993.58,67628.06,556990.95,2062285.15,103867.41,-1059194.79,4606570.36
124,Kota Bengkulu,2019,14230136.2,683094.94,6114141.22,7005300.49,355723.65,-5177997.56,23210398.95
125,Lampung Barat,2019,5587883.63,206143.41,1339364.12,2677403.08,10562.88,-2725705.68,7095651.44
126,Tanggamus,2019,10952881.98,250712.66,1665140.96,3981789.18,3722.11,-1263315.89,15590931.0
127,Lampung Selatan,2019,24771870.55,644624.15,2169308.24,16735250.44,273428.87,90890.44,44685372.69
128,Lampung Timur,2019,26298477.87,696173.52,2449887.46,13268627.87,-965156.84,-143360.84,41604649.03
129,Lampung Tengah,2019,37997076.81,951939.43,2562003.88,24514000.49,824474.0,4167617.61,71017112.22
130,Lampung Utara,2019,14490812.4,755863.12,1683397.06,7980374.13,1464.0,-1131692.31,23780218.4
131,Way Kanan,2019,8775545.87,216404.36,1132340.96,4559730.92,2692.26,-705523.2,13981191.16
132,Tulangbawang,2019,13423429.67,362385.73,1104931.28,8036184.53,94309.26,42345.41,23063585.89
133,Pesawaran,2019,9349290.33,220374.08,1125383.36,5167521.57,2069.24,343573.23,16208211.81
134,Pringsewu,2019,9398648.43,199076.82,892133.05,3516795.57,33821.62,-2883522.24,11156953.24
135,Mesuji,2019,5985056.65,150917.35,516869.65,3211246.97,3628.91,541505.48,10409225.01
136,Tulang Bawang Barat,2019,7542159.67,148668.99,688376.9,3712903.37,20421.15,-667227.14,11445302.94
137,Pesisir Barat,2019,3285048.98,84654.85,147135.72,1068193.03,18962.16,83395.12,4687389.87
138,Kota Bandar Lampung,2019,35903293.42,1031563.15,11192051.17,19237810.39,12949.78,-8173688.56,59203979.34
139,Kota Metro,2019,4562727.15,125493.56,980662.72,1369658.13,22385.41,-740019.2,6320907.78
140,Bangka,2019,10036375.18,95459.69,1338458.68,3631688.65,100352.9,-1436907.46,13765427.63
141,Belitung,2019,5993907.74,79968.58,1215616.7,3039438.99,90118.17,-562247.9,9856802.27
142,Bangka Barat,2019,7778170.06,84161.61,911879.12,3138054.13,127598.18,2117341.71,14157204.8
143,Bangka Tengah,2019,6549903.51,77446.67,1156322.34,2767985.64,35096.6,-2019859.23,8566895.53
144,Bangka Selatan,2019,6207294.91,64139.78,801529.07,2725616.66,71179.27,-1205369.74,8664389.95
145,Belitung Timur,2019,4670823.31,60503.02,1018972.83,2585132.8,99210.17,-720875.27,7713766.85
146,Kota Pangkal Pinang,2019,7320287.21,137310.58,2222171.85,4532375.19,99357.91,-662568.72,13648934.02
147,Karimun,2019,8511272.42,141730.72,1723079.97,4999312.43,30848.73,-1862073.0,13544171.26
148,Bintan,2019,10851387.43,26227.14,1891967.3,12427347.07,55168.26,-3949083.97,21303013.23
149,Natuna,2019,3939882.47,12778.65,2234689.92,3571628.29,25734.56,12010786.81,21795500.69
150,Lingga,2019,2617287.37,16349.02,1019550.52,1755683.28,10461.66,-1145062.96,4274268.9
151,Kepulauan Anambas,2019,2202820.82,11871.46,1706334.28,3374304.91,60361.32,10084077.95,17439770.75
152,Kota Batam,2019,64588504.56,379114.71,2614649.64,80476305.59,1314189.96,15117351.52,164490116.0
153,Kota Tanjung Pinang,2019,12019995.66,81438.49,4055124.4,9194474.12,79609.25,-5262659.42,20167982.49
154,Kep. Seribu,2019,2715328.22,861025.29,553500.62,355598.3,945.46,3439865.61,7926263.5
155,Kota Jakarta Selatan,2019,415436678.8,15942776.03,114544586.8,230932104.6,277754.85,-134669669.1,642464231.9
156,Kota Jakarta Timur,2019,417554766.6,12194869.09,23306047.23,173090697.1,366602.35,-138013487.6,488499494.7
157,Kota Jakarta Pusat,2019,160967738.3,7763524.32,185420934.3,207709908.9,1321634.07,136654380.1,699838120.0
158,Kota Jakarta Barat,2019,395877990.1,10115074.22,16894869.62,224188810.1,409854.24,-177027782.6,470458815.6
159,Kota Jakarta Utara,2019,313231556.4,13960730.21,19702252.94,223971885.6,1554052.48,-50041654.07,522378823.6
160,Bogor,2019,162520747.8,1452940.54,7416049.92,52192772.95,3293438.63,10351132.21,237227082.1
161,Sukabumi,2019,43713671.62,348711.41,3752249.29,19345657.91,3217402.49,-2954571.44,67423121.28
162,Cianjur,2019,36111187.89,114404.15,3280704.13,12114610.09,1406889.44,-6069940.8,46957854.9
163,Bandung,2019,98383391.11,601096.76,5498108.37,25122726.0,3203447.0,-8823020.26,123985749.0
164,Garut,2019,46131670.09,324881.18,4183836.38,14953281.6,1900794.09,-9619897.2,57874566.14
165,Tasikmalaya,2019,31283726.55,567509.54,3274222.21,7587374.87,1627997.63,-7030604.33,37310226.47
166,Ciamis,2019,21762255.36,393936.33,2758894.43,7805735.34,786938.69,-1971656.12,31536104.02
167,Kuningan,2019,20935784.13,623111.67,3021201.98,6312605.48,667891.59,-6467440.87,25093153.97
168,Cirebon,2019,44174885.1,968666.73,3514707.03,16079162.29,1719230.05,-17320845.5,49135805.7
169,Majalengka,2019,23152518.71,192877.25,2772945.66,11463278.95,985906.85,-7227294.33,31340233.1
170,Sumedang,2019,24367849.2,535099.93,3133224.6,8701971.56,1210501.09,-2509019.79,35439626.58
171,Indramayu,2019,34512062.49,243941.42,3371211.29,13314688.89,3665388.95,25282562.56,80389855.61
172,Subang,2019,30020851.54,320455.32,3778367.6,10959043.79,1521762.55,-5809800.4,40790680.41
173,Purwakarta,2019,35716344.39,261436.21,2707025.76,15923793.36,2215863.33,10885044.52,67709507.58
174,Karawang,2019,89338105.45,467415.57,5225966.39,39756225.23,8091935.63,87321692.71,230201341.0
175,Bekasi,2019,126730861.5,518168.54,5443124.89,74927052.43,13041706.63,105422726.8,326083640.8
176,Bandung Barat,2019,31000866.17,455233.36,2894600.39,9938402.87,1844992.52,1045985.19,47180080.5
177,Pangandaran,2019,6500445.94,92852.42,1051684.77,2761306.8,457114.21,448281.7,11311685.83
178,Kota Bogor,2019,45582471.86,790720.57,4972035.6,15722784.25,2135031.83,-23005286.99,46197757.13
179,Kota Sukabumi,2019,9854712.02,557768.37,1423746.28,2034342.49,538955.44,-2021833.06,12387691.54
180,Kota Bandung,2019,170070251.9,1745716.79,30938078.64,79199473.04,10087857.08,-3580501.51,288460876.0
181,Kota Cirebon,2019,13038962.88,467101.65,2773180.03,6442741.33,1090598.95,-320781.4,23491803.45
182,Kota Bekasi,2019,110686272.5,330391.84,4543481.63,36411645.06,3805761.09,-57669854.33,98107697.77
183,Kota Depok,2019,88139375.35,778179.26,2693748.35,37755447.51,1901293.06,-60303999.24,70964044.3
184,Kota Cimahi,2019,23455648.84,76555.09,1814859.39,10801318.28,1118529.42,-4627368.9,32639542.12
185,Kota Tasikmalaya,2019,15710370.7,519366.66,2360582.2,7134466.69,747195.43,-4721067.4,21750914.27
186,Kota Banjar,2019,3794250.51,57331.85,1131970.89,1410727.49,153271.84,-2167738.62,4379813.96
187,Cilacap,2019,44837412.81,588510.23,3282346.9,22625435.17,431576.0,42351798.65,114117079.8
188,Banyumas,2019,35995248.55,648368.66,4581833.95,20810432.29,180303.79,-8267327.19,53948860.05
189,Purbalingga,2019,17894283.3,398701.51,1840936.17,5408471.26,746294.45,-1371096.73,24917589.96
190,Banjarnegara,2019,16507202.16,423735.16,1854225.86,4939381.94,174917.04,-2299984.89,21599477.27
191,Kebumen,2019,20562971.58,531150.08,2593445.82,5986165.25,520801.82,-2257874.9,27936659.65
192,Purworejo,2019,14615036.63,379793.18,1990766.43,5201119.15,216275.88,-3745618.13,18657373.14
193,Wonosobo,2019,14545936.29,367314.68,1571935.59,3843417.48,272927.17,-1793867.11,18807664.1
194,Magelang,2019,23419218.13,672077.76,2649272.78,9655036.54,320702.31,-4218899.02,32497408.5
195,Boyolali,2019,25395426.35,521755.77,2225376.16,7182204.94,349769.52,-3008551.58,32665981.16
196,Klaten,2019,30063015.67,658561.53,2855085.86,8845316.48,210574.43,-2866031.19,39766522.78
197,Sukoharjo,2019,25326115.3,438092.91,2063575.28,9130166.83,-279764.02,267694.06,36945880.36
198,Wonogiri,2019,20431062.82,633933.51,2292769.1,6381779.87,123313.72,-817941.96,29044917.06
199,Karanganyar,2019,25548147.1,497065.22,2105130.0,9130735.99,637337.72,-903664.0,37014752.03
200,Sragen,2019,26489846.2,492521.23,2389253.42,9270540.21,567370.73,-1373300.97,37836230.82
201,Grobogan,2019,22672085.38,520161.97,2534592.26,4861401.31,-111911.59,-3197807.51,27278521.82
202,Blora,2019,16894337.06,379035.97,2254739.47,3037220.17,94810.51,3305794.29,25965937.47
203,Rembang,2019,13578686.94,297973.79,1661436.9,4462602.52,665099.59,-1721752.96,18944046.78
204,Pati,2019,30854549.18,551889.84,2929574.22,10445577.92,366162.82,-2107800.3,43039953.68
205,Kudus,2019,27583101.92,350906.08,2088081.03,14726813.55,1615553.35,64215972.54,110580428.5
206,Jepara,2019,26110517.23,519720.14,2287898.32,11970698.36,187129.32,-10845766.76,30230196.61
207,Demak,2019,19957996.06,448016.5,2220628.58,6834069.06,249730.47,-3526146.09,26184294.58
208,Semarang,2019,28742506.39,535174.34,3416798.67,21302622.81,495442.91,-4872169.66,49620375.46
209,Temanggung,2019,15585592.85,394877.11,1657384.08,3686816.87,836767.02,-512449.86,21648988.07
210,Kendal,2019,25191559.75,429721.28,2172541.45,12646182.31,406583.05,1704119.13,42550706.97
211,Batang,2019,15465989.48,366508.69,1543955.31,8625319.98,-476473.55,-3939580.43,21585719.48
212,Pekalongan,2019,17322221.08,393333.58,1877491.34,5621641.33,391106.0,-2748729.73,22857063.6
213,Pemalang,2019,20988034.0,473968.2,2225828.33,3579137.56,203968.6,-1987334.92,25483601.77
214,Tegal,2019,29326836.67,527465.4,2459349.82,9014587.67,286380.68,-6396650.63,35217969.61
215,Brebes,2019,35354224.31,626969.71,2847234.69,6531553.13,105114.34,713561.4,46178657.58
216,Kota Magelang,2019,4941300.63,117661.89,1595211.46,4568883.95,94007.98,-2510780.31,8806285.6
217,Kota Surakarta,2019,24210990.22,312574.49,5090821.49,33871412.04,292012.26,-15778096.09,47999714.41
218,Kota Salatiga,2019,8554915.93,137398.92,1258400.21,6770532.33,104190.95,-3514482.39,13310955.95
219,Kota Semarang,2019,82635066.59,1451051.92,24408317.99,134265590.4,1200245.61,-52608236.22,191352036.3
220,Kota Pekalongan,2019,7246057.52,140017.38,1048184.84,4328021.19,25877.76,-1914182.65,10873976.04
221,Kota Tegal,2019,7969094.2,129724.3,1388091.0,7235360.0,60860.02,-1498416.0,15284713.52
222,Kulon Progo,2019,7384441.81,408470.9,1795178.72,7578200.61,48882.28,-5219402.73,11995771.6
223,Bantul,2019,19870431.08,936823.0,3548801.06,7227686.02,197396.56,-5470165.07,26310972.65
224,Gunung Kidul,2019,13159582.22,254086.69,3066861.33,5562741.64,196711.19,-3395246.9,18844736.16
225,Sleman,2019,30698035.0,1002963.0,6680661.0,19053162.0,686205.0,-10653047.91,47467978.09
226,Kota Yogyakarta,2019,21265104.55,1996239.97,7311453.53,10083968.45,386232.79,-4550359.0,36492640.29
227,Pacitan,2019,12172464.56,343054.48,1666627.5,6919475.1,30099.46,-5169812.71,15961908.38
228,Ponorogo,2019,14612755.85,485283.09,2338222.44,5850061.6,12043.29,-2814618.28,20483747.99
229,Trenggalek,2019,13285972.42,756933.18,2122614.79,3704379.28,19044.14,-1335752.13,18553191.68
230,Tulungagung,2019,26543109.23,646199.81,2977216.07,11329577.97,38669.22,-2319278.2,39215494.09
231,Blitar,2019,24748245.48,768963.64,3029688.82,10516196.57,29349.46,-2645307.58,36447136.4
232,Kediri,2019,30111107.01,986337.26,3259818.62,13832237.14,302637.21,-7308454.12,41183683.13
233,Malang,2019,65885411.98,2592846.04,4442093.4,34314206.34,122107.76,-3612557.23,103744108.3
234,Lumajang,2019,21788785.53,370249.78,2094182.73,7200080.65,1151532.24,16120.17,32620951.1
235,Jember,2019,52267378.17,1410748.78,4104024.24,14439083.96,2221949.12,2782521.43,77225705.69
236,Banyuwangi,2019,53943416.76,1338118.16,6280061.01,27580340.53,600453.2,-6146660.54,83595729.11
237,Bondowoso,2019,14323305.22,371546.84,2068081.24,5504771.29,211209.32,-2624865.42,19854048.49
238,Situbondo,2019,14175247.33,265367.16,2188971.22,4806760.97,107225.0,-1333435.38,20210136.3
239,Probolinggo,2019,23080390.89,325742.24,2278180.77,9834850.45,121758.7,-1627264.55,34013658.49
240,Pasuruan,2019,88825923.11,999452.36,3092252.29,50612200.21,1243376.78,1102586.18,145875790.9
241,Sidoarjo,2019,114931971.3,2335107.12,16244744.29,61924341.24,1535097.88,7230359.71,204201621.6
242,Mojokerto,2019,45902737.77,981874.61,2329933.88,24233948.49,1348094.35,7591319.99,82387909.08
243,Jombang,2019,29660868.73,1049087.36,3125191.0,13244362.27,672766.87,-7299798.5,40452477.72
244,Nganjuk,2019,18771710.1,394287.44,2531086.92,7883633.65,668518.21,-3598120.16,26651116.15
245,Madiun,2019,13596300.02,393388.9,1891267.13,6910751.65,283877.26,-4144034.21,18931550.75
246,Magetan,2019,13572038.23,228944.56,2095753.02,4405327.91,80210.51,-1532041.54,18850232.7
247,Ngawi,2019,14617209.81,229365.78,2249347.16,4808569.75,51684.34,-1523529.88,20432646.96
248,Bojonegoro,2019,30806957.77,260726.23,2684902.05,15938148.43,228037.65,28127553.51,78046325.64
249,Tuban,2019,35740372.75,521424.64,2880527.58,24915174.28,303419.7,631841.45,64992760.39
250,Lamongan,2019,28655195.92,944184.99,2929038.28,13014599.59,172866.27,-5990400.46,39725484.59
251,Gresik,2019,81087650.17,947095.97,3644487.43,33971788.88,4785496.23,14457085.01,138893603.7
252,Bangkalan,2019,16702311.42,263543.9,2165842.28,8045991.17,431114.93,-2944598.49,24664205.21
253,Sampang,2019,13690222.48,337161.96,2075065.16,5844156.2,5483.49,-2163357.07,19788732.21
254,Pamekasan,2019,12155735.43,254282.87,2277115.84,5481369.07,112184.65,-3252185.03,17028502.84
255,Sumenep,2019,23098773.41,305131.77,2718338.97,8538969.07,6822.58,-1369399.33,33298636.46
256,Kota Kediri,2019,22263862.76,267160.52,1824577.57,23033564.71,3330331.07,88525377.0,139244873.6
