,Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
0,Simeulue,2019,1583299.05,95178.33,848065.06,976234.86,5508.92,-1296400.64,2211885.58
1,Aceh Singkil,2019,1659150.11,46800.16,889060.69,783541.57,30642.55,-1013783.24,2395411.85
2,Aceh Selatan,2019,3770239.34,114959.07,1395207.9,1965693.9,42754.97,-1809429.52,5479425.66
3,Aceh Tenggara,2019,3787303.2,210842.96,1302535.79,1369322.79,226988.74,-1990076.09,4906917.38
4,Aceh Timur,2019,7919415.25,317838.81,1550051.91,3746446.62,147401.58,-3400354.67,10280799.51
5,Aceh Tengah,2019,3469768.6,129532.61,1310483.16,3178686.32,110273.45,-726298.24,7472445.9
6,Aceh Barat,2019,3909837.42,200138.03,1315800.47,3822095.04,58748.77,-1342265.13,7964354.62
7,Aceh Besar,2019,9605114.91,62816.22,2255576.68,4769665.52,185682.17,-3637580.64,13241274.86
8,Pidie,2019,7440240.64,276269.8,2235450.92,3140135.47,1738.71,-2544610.17,10549225.37
9,Bireuen,2019,8914805.97,264044.96,1990891.5,3141544.46,216262.4,-1640701.53,12886847.77
10,Aceh Utara,2019,11190657.49,418282.45,2848282.97,6236208.24,218103.12,-1236581.89,19674952.38
11,Aceh Barat Daya,2019,2280393.32,62657.6,880845.44,2344512.71,16876.37,-1730966.86,3854318.59
12,Gayo Lues,2019,1420379.56,92999.12,894152.09,1129733.92,50226.13,-978757.11,2608733.7
13,Aceh Tamiang,2019,4810216.01,139715.65,1202987.7,2578031.59,1030.02,-1346639.81,7385341.17
14,Nagan Raya,2019,3356510.22,173190.41,986377.93,2673300.99,7767.68,214544.39,7411691.61
15,Aceh Jaya,2019,1360452.96,57858.05,893600.46,1466927.52,410.0,-1204106.67,2575142.32
16,Bener Meriah,2019,2350700.15,99375.85,888750.15,2163729.08,4175.69,-1083615.98,4423114.94
17,Pidie Jaya,2019,2644711.11,154565.78,868623.41,1341321.64,-4229.34,-1555126.23,3449866.38
18,Kota Banda Aceh,2019,11222272.54,335462.18,8014469.52,4560477.49,190051.03,-5753657.58,18569075.19
19,Kota Sabang,2019,811080.38,92893.85,1013231.93,1048637.91,88225.32,-1522482.29,1531587.09
20,Kota Langsa,2019,3618784.16,134447.94,1115209.62,1942023.71,13231.01,-1587472.81,5236223.62
21,Kota Lhokseumawe,2019,4763944.95,122642.22,1545096.85,4210953.42,108565.08,-1852822.83,8898379.69
22,Kota Subulussalam,2019,1270135.41,54918.71,598591.91,982500.32,-13911.21,-1165311.02,1726924.11
23,Nias,2019,3574681.42,144998.39,829637.11,977620.43,10605.38,-1712687.82,3824854.92
24,Mandailing Natal,2019,8771993.48,217261.25,2225944.17,3104810.2,375856.09,-1151129.45,13544735.74
25,Tapanuli Selatan,2019,6512559.99,104328.16,1517212.07,5265312.62,133799.17,399123.08,13932335.09
26,Tapanuli Tengah,2019,6775018.31,217105.94,1021716.78,1857410.79,87715.6,-2189.86,9956777.57
27,Tapanuli Utara,2019,5127194.07,395755.32,1311980.12,3527207.9,186618.0,-2659705.85,7889049.56
28,Toba Samosir,2019,4262738.33,128851.8,1146643.69,1624750.09,95943.84,416459.83,7675387.58
29,Labuhan Batu,2019,15926382.38,236854.88,1394104.12,7742295.42,896827.87,7413964.71,33610429.38
30,Asahan,2019,20849597.76,459803.69,2248769.49,10483269.1,450781.56,2948184.85,37440406.46
31,Simalungun,2019,21781725.72,440405.71,2634346.37,9942811.49,353300.83,2904841.66,38057431.78
32,Dairi,2019,5167959.82,237062.43,1083301.07,2553998.7,190741.12,-66641.89,9166421.25
33,Karo,2019,11211886.66,362506.67,1912997.82,6574585.92,742160.41,-219411.59,20584725.88
34,Deli Serdang,2019,64449015.49,588181.96,3980836.89,36270889.53,1084478.91,2960737.17,109334140.0
35,Langkat,2019,25787227.72,442465.12,3395975.66,9706254.08,724086.91,2459166.94,42515176.42
36,Nias Selatan,2019,5347412.55,185780.46,1841206.74,1615684.03,311847.72,-2440453.84,6861477.66
37,Humbang Hasundutan,2019,3372082.92,102311.51,1028307.73,1411830.27,39054.67,-2324.2,5951262.9
38,Pakpak Bharat,2019,647130.87,11321.05,348271.64,366329.09,4827.07,-199664.47,1178215.25
39,Samosir,2019,2651859.09,104764.05,974093.99,635033.59,168499.41,-99528.89,4434721.24
40,Serdang Bedagai,2019,16391035.93,348010.27,2487961.39,7114794.13,503565.74,1114076.22,27959443.68
41,Batu Bara,2019,14091016.99,287567.13,1873835.03,6683979.07,624710.94,10486739.86,34047849.02
42,Padang Lawas Utara,2019,7070254.71,152700.39,1023510.34,2835625.37,59747.72,477893.16,11619731.69
43,Padang Lawas,2019,5462108.81,115652.62,877856.42,2674383.63,46858.66,2195126.36,11371986.51
44,Labuhan Batu Selatan,2019,12806249.82,142716.7,1087525.47,7422853.92,768599.16,4904358.78,27132303.86
45,Labuhan Batu Utara,2019,11506551.31,221734.6,1264628.92,6611170.97,524843.25,4249415.09,24378344.14
46,Nias Utara,2019,2723939.35,55969.02,740257.52,1098001.0,93779.57,-1195963.2,3515983.26
47,Nias Barat,2019,1461079.32,75026.84,452674.51,523959.42,70806.11,-766698.37,1816847.82
48,Kota Sibolga,2019,3295709.9,105760.75,684915.58,1044665.51,86895.35,313596.36,5531543.45
49,Kota Tanjung Balai,2019,4725045.66,119822.01,957728.34,2972914.2,256139.58,-80198.83,8951450.97
50,Kota Pematang Siantar,2019,8216713.03,381441.45,1537973.07,3562985.58,388624.15,-154487.79,13933249.49
51,Kota Tebing Tinggi,2019,4172534.36,21883.79,1115194.88,2209191.21,54720.14,-1649325.03,5924199.35
52,Kota Medan,2019,110402847.2,782590.55,9939389.57,101177700.7,1616096.34,17563725.55,241482349.9
53,Kota Binjai,2019,6860347.78,176259.2,679505.31,3762146.43,105917.37,115921.97,11700098.06
54,Kota Padangsidimpuan,2019,3942117.2,223187.13,1247343.83,2333096.26,69377.81,-1441995.94,6373126.29
55,Kota Gunungsitoli,2019,3740111.42,111349.8,526486.76,1599778.11,13388.73,-477198.16,5513916.66
56,Kepulauan Mentawai,2019,2484444.95,43841.1,841401.95,1434446.3,173.95,-139214.81,4665093.44
57,Pesisir Selatan,2019,7769709.4,166497.27,1741398.99,4255171.36,4901.54,99450.1,14037128.66
58,Solok,2019,7754387.42,124518.18,1543092.02,4314743.32,2597.12,-158825.04,13580513.02
59,Sijunjung,2019,5170944.66,76469.85,1015794.15,3072901.23,1796.94,-189027.87,9148878.97
60,Tanah Datar,2019,7741624.36,173996.24,1633521.77,4213423.23,958.98,-672838.87,13090685.71
61,Padang Pariaman,2019,10869391.64,237601.21,1839091.49,5946754.07,421.3,2362213.63,21255473.34
62,Agam,2019,11537249.35,240899.68,1750985.08,6105617.43,308.15,905932.48,20540992.18
63,Lima Puluh Kota,2019,8751049.54,175689.06,1505655.05,4843161.71,405.09,349379.96,15625340.42
64,Pasaman,2019,4988637.55,106573.13,1127595.93,2798457.07,2051.39,-115546.56,8907768.5
65,Solok Selatan,2019,3218709.29,68159.68,713499.58,1671359.2,227.91,-97436.57,5574519.08
66,Dharmasraya,2019,5945630.75,110039.9,987094.52,3091528.17,715.45,214554.38,10349563.18
67,Pasaman Barat,2019,8926405.98,199922.6,1483454.15,4839487.25,216.29,-48148.19,15401338.08
68,Kota Padang,2019,32098460.8,732385.2,9860235.22,18712629.37,16421.66,1000338.57,62420470.82
69,Kota Solok,2019,2115632.9,45365.35,717948.27,1100430.19,115.17,68487.94,4047979.83
70,Kota Sawah Lunto,2019,2086707.65,43438.32,706753.61,978905.63,3003.85,-138958.84,3679850.22
71,Kota Padang Panjang,2019,1870441.57,41432.99,682426.54,1106613.07,4886.47,-230968.0,3474832.65
72,Kota Bukittinggi,2019,4715823.9,89686.13,1214265.59,2378812.11,5554.0,291174.88,8695316.61
73,Kota Payakumbuh,2019,3314169.56,65408.29,899806.45,1795974.36,49056.22,700753.05,6825167.93
74,Kota Pariaman,2019,2700130.22,61547.97,720696.43,1411146.64,2213.21,109764.09,5005498.56
75,Kuantan Singingi,2019,14309955.88,176607.81,1564569.94,15656030.47,89716.89,73081.41,31869962.39
76,Indragiri Hulu,2019,17225241.07,247988.62,1687822.43,16904986.53,348853.97,5177840.95,41592733.57
77,Indragiri Hilir,2019,29034129.16,449864.49,1987594.78,15690403.24,53814.21,15482102.88,62697908.77
78,Pelalawan,2019,14642204.93,191639.34,1367395.73,9039107.49,920299.5,21571374.85,47732021.83
79,Siak,2019,20547583.41,254568.95,2072467.35,20531225.09,623944.47,38075343.37,82105132.65
80,Kampar,2019,36330571.04,467539.0,2979112.69,27736712.18,1601286.57,8151929.92,77267151.39
81,Rokan Hulu,2019,23164347.94,326054.97,1590738.71,9092300.46,321937.83,-613119.72,33882260.19
82,Bengkalis,2019,28520436.57,371038.07,3435469.3,24901356.05,154018.58,82996588.48,140378907.1
83,Rokan Hilir,2019,24481975.23,383701.64,1952196.5,7891601.64,1150903.44,38727739.29,74588117.75
84,Kepulauan Meranti,2019,7172261.87,153337.59,644131.42,4600306.64,40679.34,5783828.44,18394545.3
85,Kota Pekanbaru,2019,60793826.5,1325258.41,9650465.7,97854914.61,1262948.23,-52123521.39,118763892.1
86,Kota Dumai,2019,12078379.44,169605.95,2276239.13,16317085.42,896054.55,4409782.02,36147146.52
87,Kerinci,2019,5539716.97,62440.32,1291890.29,1695832.3,68063.37,1254525.41,9912468.66
88,Merangin,2019,9503651.64,57456.32,1222126.56,3786138.73,35345.85,683354.39,15288073.47
89,Sarolangun,2019,8376918.95,85203.6,1011591.56,5672671.9,-52001.49,32535.62,15126920.14
90,Batang Hari,2019,8058427.94,67911.38,1156002.55,3834024.05,85651.72,3261275.83,16463293.47
