Simalungun;24275923.98;26494630.73;444679.77;510273.7;2624058.42;2971477.85;11320627.64;11915767.38;441728.84;765615.25;8178871.2;9581335.06;47285889.85;52239099.97
Dairi;5909303;6645855.18;256930.08;290569.7;1097957.46;1235055.44;2809312.02;3028135.13;248837.64;250254.1;394604.24;201281.26;10716944.44;11651150.81
Karo;12914535.97;14028794.62;373798.28;441905.69;2011168.57;2120358.04;7591063.84;8641188.95;1102028.21;345050.65;-17027.64;831672.52;23975567.23;26408970.47
Deli Serdang;73614136;81986346.21;646625.35;736630.07;4140290.39;4466933.03;40604710.98;45048890.36;1867888.24;2587186.2;6672899.2;4271722.05;127546550.2;139097707.9
Langkat;28647843.51;31228672.11;465659.89;541771.5;3508191.54;4039491.3;11233132.07;12246210.74;1174941.43;2066845.55;6382996.51;6068257.57;51412764.95;56191248.77
Nias Selatan;6343654.01;6828250.22;212214.98;233948.96;2022153.79;2225874.79;2008253.83;2254985.2;469251.81;146568.48;-3041024.63;-3114651.25;8014503.79;8574976.4
Humbang Hasundutan;3942146.98;4454597.6;114968.72;132318.51;1117060.69;1240129.16;1666887.04;1876060.05;40738.06;3055.3;37683.58;-51109.87;6919485.07;7655050.75
Pakpak Bharat;782032.68;837502.79;13174.11;14837.87;386486.4;451832.14;429489.49;498456.54;7516.74;7762.63;-225119.96;-250620.7;1393579.46;1559771.27
Samosir;3096115.13;3461181.14;122085.72;134319.94;1021343.54;1066554.79;750009.4;836234.19;237854.25;222306.95;-61159.36;-64846.72;5166248.68;5655750.29
Serdang Bedagai;17735702.98;19533942.81;355165.59;388385.86;2672430.16;2568296;8271329.52;8898793.34;693187.97;828713.6;3790169.25;5316059.11;33517985.47;37534190.72
Batu Bara;16053158.46;17746681.17;301044.4;344418.06;1902337.98;2026234.23;7747533.01;8611538.35;978459.85;1184531.85;13884182.56;13861593.06;40866716.26;43774996.71
Padang Lawas Utara;8188896.06;8739674.2;173702.49;205252.58;1130958.25;1157182.52;3335904.4;3778879.79;94900.36;123162.62;1450934.41;1818214.09;14375295.97;15822365.8
Padang Lawas;6560319.97;7102937.43;123467.59;138199.5;883755.02;895073.14;3094698.56;3398283.45;66805.51;49580.29;3857717.76;4543004.66;14586764.41;16127078.47
Labuhan Batu Selatan;14220023.89;15503166.64;152189.73;170312.76;1136128.38;1217835.93;8648718.46;9915069.39;1193404.35;1493733.57;8804350.51;9284188.06;34154815.32;37584306.37
Labuhan Batu Utara;13112731.18;14696309.06;234539.65;277862.16;1288164.36;1362870.55;7489524.09;8303163.94;705115.4;765917.2;7452423.38;7864778.35;30282498.06;33270901.26
Nias Utara;3167683;3461162.19;63706.14;74541;823387.09;917976.64;1280695.6;1370746.9;120309.33;182864.47;-1282844.24;-1529423.18;4172936.92;4477868.03
Nias Barat;1628379;1781516.87;88408.06;94838.98;509171.17;559714.5;590699.41;638217.59;106022.22;91177.48;-749950.84;-828959.88;2172729.02;2336505.54
Kota Sibolga;3792568.55;4116987.54;116360.17;133201.71;718268.18;769707.63;1162502.39;1253523.25;136745.49;99045.84;413921.69;448331.91;6340366.47;6820797.89
Kota Tanjung Balai;5402957.97;6012497.35;131802.28;156752.85;941980.86;1056663.73;3150125.45;3418770.18;414772.84;187131.02;424503.44;377677.32;10466142.84;11209492.45
Kota Pematang Siantar;8650477.68;9516429.91;403430.48;443915.29;1569889.07;1586777.55;3651173.13;3954930.41;554151.72;631578.55;379186.06;94418.33;15208308.14;16228050.04
Kota Tebing Tinggi;4735944.97;5141470.4;23592.93;27079.97;1178814.66;1336871.82;2569990.03;2860172.68;77704.8;201733.74;-1654780.66;-2139043.07;6931266.73;7428285.55
Kota Medan;119829752.1;132451725.9;831385.32;966599.19;10000130.56;10152341.33;111865788.5;120356363.5;2945882.91;4443526.01;34686096.67;34941321.84;280159036.1;303311877.8
Kota Binjai;7772184.78;8603426.76;182482.22;205574.84;759572.71;860845.76;4302456.44;4798582.92;158341.7;66318.09;140915.57;-75165.65;13315953.42;14459582.72
Kota Padangsidimpuan;4643914.59;5049599.3;245002.12;289483.78;1273751.44;1430609.11;2713926.45;2903677.93;95480.23;98872.87;-1587119.75;-1843289.37;7384955.08;7928953.62
Kota Gunungsitoli;4377789.99;4686574.33;130690.2;145443.02;553704.34;620283.32;1926122.17;2098064.92;18794.19;19582.06;-530272.03;-645476.39;6476828.86;6924471.26
Kepulauan Mentawai;2761991.96;2978471.61;45006.82;49376.35;811539.32;816635.41;1603409.37;1797584.36;12812.59;-1200.88;210937.94;274132.22;5445698;5914999.06
Pesisir Selatan;8603813.91;9186230.87;171484.17;189609.62;1637915.13;1646355.18;4744732.49;5256454.68;64440.89;-101689.19;1384105.23;1848718.53;16606491.83;18025679.68
Solok;8766565.19;9432539.05;132663.15;147119.88;1488696.14;1526353.04;4895609.82;5513182.8;43629.55;9246.16;453976.32;687971.46;15781140.16;17316412.39
Sijunjung;5742616.87;6142236.36;81980.87;90652.35;960130.07;992987.92;3415750.49;3789497.25;40422.04;22471.95;427650.93;638925.28;10668551.27;11676771.13
Tanah Datar;8754471.76;9362656.13;180012.69;202477.56;1591786.17;1611913.13;4652318.27;5205701.28;40228.08;-25811.91;-159559.37;102622.41;15059257.61;16459558.6
