,Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
658,Bangka Selatan,2023,7300081.75,80964.84,975845.34,2992424.38,22788.98,-85.01,11372020.28
659,Belitung Timur,2023,5579688.87,74578.42,1188387.91,3064290.79,46385.21,608599.56,10561930.75
660,Kota Pangkal Pinang,2023,8883585.51,165134.37,2529584.69,5513339.64,12010.0,1705127.95,18808782.14
661,Karimun,2023,10806097.51,175478.76,1740966.0,6390801.46,163732.63,-2260102.01,17016974.35
662,Bintan,2023,13601155.34,33029.67,1962006.56,15048775.88,180188.07,-5741370.18,25083785.34
663,Natuna,2023,4860621.05,14821.59,2088561.92,4036858.81,32237.15,12486781.87,23519882.39
664,Lingga,2023,3166437.23,19790.95,1152578.73,2266483.01,30640.51,-1386172.11,5249758.32
665,Kepulauan Anambas,2023,2896544.41,13623.83,1767840.99,3942916.87,159690.8,10460869.04,19241485.93
666,Kota Batam,2023,85660429.16,476296.15,2788093.29,101753011.6,1394057.58,24025827.33,216097715.2
667,Kota Tanjung Pinang,2023,14968240.21,89875.75,4773706.29,9517683.47,306418.28,-6122262.13,23533661.88
668,Kep. Seribu,2023,3417292.69,1080273.53,560385.73,423488.94,87980.79,2644182.72,8213604.41
669,Kota Jakarta Selatan,2023,518168040.1,19761372.84,137033583.4,258605540.1,2661796.58,-143615599.7,792614733.3
670,Kota Jakarta Timur,2023,520187809.1,15067001.35,23084885.19,193908340.4,3101317.59,-163118916.0,592230437.7
671,Kota Jakarta Pusat,2023,201244308.9,9546381.69,216709121.9,233021556.4,1548655.65,197979335.2,860049359.9
672,Kota Jakarta Barat,2023,492089130.4,12657357.69,19088030.46,251406355.3,1803162.8,-191531536.8,585512499.8
673,Kota Jakarta Utara,2023,391501400.9,17315769.72,19214564.07,252510223.3,3102930.91,-52252046.03,631392842.9
674,Bogor,2023,192235614.0,1794347.92,8286421.72,61208383.97,-519281.68,26100668.7,289106154.7
675,Sukabumi,2023,53619341.4,450154.44,4309715.79,23278582.16,101363.62,558150.07,82317307.48
676,Cianjur,2023,43776404.38,142099.53,3603310.64,14926552.56,116676.7,-4173824.18,58391219.63
677,Bandung,2023,123098140.6,803449.42,6302597.65,29650707.23,482257.0,-6386410.47,153950741.4
678,Garut,2023,57323705.67,414089.12,4859843.33,18343199.14,49119.79,-8760727.21,72229229.84
679,Tasikmalaya,2023,38560711.25,739429.22,3767432.0,8841076.24,70695.82,-5881389.44,46097955.1
680,Ciamis,2023,27643317.41,493142.48,3165303.32,9304916.46,23559.16,-789198.98,39841039.85
681,Kuningan,2023,26627655.93,762165.4,3320623.08,7901721.04,5363.3,-6072636.46,32544892.28
682,Cirebon,2023,55199529.72,1232246.68,3880566.71,17130004.3,96459.39,-16229042.23,61309764.57
683,Majalengka,2023,28547015.74,245374.18,3196793.79,13925032.32,28713.31,-4229480.65,41713448.69
684,Sumedang,2023,29540805.2,678790.67,3495594.13,10111784.52,51961.0,-551787.0,43327148.51
685,Indramayu,2023,41855398.82,296661.97,3714164.13,16292199.04,123208.17,41278306.13,103559938.3
686,Subang,2023,35645444.47,389529.26,4091914.7,13742631.32,61744.21,-4239039.99,49692223.97
687,Purwakarta,2023,43287843.57,324269.79,2871155.46,19084627.85,27299.26,16534063.25,82129259.17
688,Karawang,2023,110094591.8,564830.97,5507909.48,48264792.95,129970.29,126354222.2,290916317.8
689,Bekasi,2023,160897275.5,606920.22,5581936.55,85584131.82,11662.59,141141051.3,393822978.0
690,Bandung Barat,2023,38762455.89,556399.14,3204432.02,12110421.68,50863.36,2260611.92,56945184.01
691,Pangandaran,2023,7990939.53,113373.66,1123803.29,3124477.05,16414.9,1887410.8,14256419.23
692,Kota Bogor,2023,56362061.23,958041.54,5521008.61,19739333.88,7439.56,-25584126.92,57003757.9
693,Kota Sukabumi,2023,12508197.47,700431.22,1626876.86,2459357.88,-2456.56,-1942697.5,15349709.36
694,Kota Bandung,2023,214179055.5,2282405.28,34392143.73,89038879.47,1303356.74,10088614.0,351284454.7
695,Kota Cirebon,2023,16266309.31,548831.57,3016558.18,6985531.22,-413485.26,2368848.51,28772593.53
696,Kota Bekasi,2023,130955101.8,395462.06,5066020.45,40354630.89,202682.05,-58010878.02,118963019.2
697,Kota Depok,2023,111087564.7,992173.18,3106748.37,47001084.09,5883.6,-74624830.35,87568623.61
698,Kota Cimahi,2023,28817201.59,102563.59,2045665.5,13222288.61,29887.78,-3718218.93,40499388.14
699,Kota Tasikmalaya,2023,19460192.04,665237.38,2782242.06,8968066.1,-55537.12,-4408772.32,27411428.14
700,Kota Banjar,2023,4623102.4,71493.05,1233221.9,1635357.84,4714.21,-2321240.49,5246648.9
701,Cilacap,2023,55223806.36,749581.72,3485410.35,27136592.18,557666.95,45272266.37,132425323.9
702,Banyumas,2023,44312390.91,833275.93,4973456.12,23994108.05,321582.74,-5683161.28,68751652.47
703,Purbalingga,2023,22166471.55,505262.63,1842421.88,6180384.9,1036875.87,-506869.95,31224546.88
704,Banjarnegara,2023,21081178.26,551702.94,1955288.21,5881348.44,104716.91,-2383406.95,27190827.81
705,Kebumen,2023,26294969.22,659760.92,2757571.47,6729204.56,951354.29,-1629056.03,35763804.43
706,Purworejo,2023,18282488.0,474438.7,2082670.85,5962794.07,331701.41,-3946066.54,23188026.49
707,Wonosobo,2023,18218378.54,474793.44,1646905.84,4340980.62,402929.85,-1754066.78,23329921.51
708,Magelang,2023,28620293.73,816799.12,2827644.98,11086439.74,512251.71,-3183042.7,40680386.58
709,Boyolali,2023,31581606.91,675634.09,2455674.97,8778791.1,473809.6,-1229963.88,42735552.79
710,Klaten,2023,38105009.52,844877.37,3011556.01,11502646.13,377319.03,-2567217.7,51274190.36
711,Sukoharjo,2023,31519498.13,577800.08,2141851.91,10388894.57,148347.7,1744857.99,46521250.38
712,Wonogiri,2023,26319428.6,844358.46,2453682.26,7575353.37,184626.91,-434800.2,36942649.4
713,Karanganyar,2023,32212511.94,654396.83,2179415.69,10646273.31,964279.87,546676.76,47203554.4
714,Sragen,2023,33411190.95,634709.77,2562671.83,11126100.85,906075.29,-70621.12,48570127.58
715,Grobogan,2023,28643869.88,661958.54,2558638.35,5700425.01,62208.6,-2868180.22,34758920.16
716,Blora,2023,21411250.63,486946.27,2322128.84,3695435.54,124186.05,3712978.06,31752925.39
717,Rembang,2023,17550635.95,387209.27,1709109.77,5413592.7,993342.1,-1924184.0,24129705.8
718,Pati,2023,39392368.2,712464.26,3050008.86,12261789.17,567486.54,-1208707.73,54775409.31
719,Kudus,2023,35508278.05,446310.19,2262300.68,17220150.28,1356060.77,64517353.46,121310453.4
720,Jepara,2023,33162574.54,684402.33,2514185.43,14146085.15,277594.54,-12761574.81,38023267.18
721,Demak,2023,25629207.02,586998.4,2506001.77,9401051.13,318684.72,-5425135.61,33016807.42
722,Semarang,2023,36458186.87,680730.87,3534063.65,24428239.31,573084.39,-4390122.59,61284182.5
723,Temanggung,2023,19401679.25,501845.54,1736114.87,4446332.83,1094243.04,-267891.32,26912324.21
724,Kendal,2023,31378724.42,567015.73,2288994.33,14358968.2,553212.36,5213446.42,54360361.46
725,Batang,2023,19431907.79,454624.38,1675624.23,7311354.39,554342.71,-1541254.36,27886599.15
726,Pekalongan,2023,21477016.92,517786.07,2011301.01,6731381.74,564525.21,-3190008.88,28112002.07
727,Pemalang,2023,25947604.67,607274.91,2343200.68,4261217.06,165405.87,-969679.37,32355023.82
728,Tegal,2023,36247937.03,682992.9,2548366.94,10138927.71,393332.33,-5571271.12,44440285.79
729,Brebes,2023,44411288.61,821944.77,2946392.49,7276003.28,209920.28,1933608.02,57599157.45
730,Kota Magelang,2023,6169827.23,160980.35,1720186.95,5206113.09,120157.11,-2394528.19,10982736.54
731,Kota Surakarta,2023,30938002.52,377745.76,4987952.26,37895289.44,404306.31,-14117532.74,60485763.55
732,Kota Salatiga,2023,10533340.84,180220.81,1391990.19,7143445.46,168397.5,-2644303.18,16773091.62
733,Kota Semarang,2023,101968259.7,1992289.53,25578275.84,148552561.4,1377940.82,-30566720.53,248902606.8
734,Kota Pekalongan,2023,9009785.84,184862.44,1095976.83,5146620.87,41808.95,-1734830.88,13744224.05
735,Kota Tegal,2023,9885566.52,166039.79,1464586.6,8325258.03,97342.96,-776552.07,19162241.83
736,Kulon Progo,2023,8957052.96,467506.79,2058966.68,8073340.59,54529.65,-3764189.2,15847207.47
737,Bantul,2023,24015566.32,1065117.33,4049662.98,8744816.91,214717.63,-4078294.45,34011586.73
738,Gunung Kidul,2023,16426549.9,307175.75,3564848.8,7494102.65,231447.93,-3047814.92,24976310.1
739,Sleman,2023,37025066.08,1209509.15,7552158.48,23227246.99,790535.17,-10372979.62,59431536.25
740,Kota Yogyakarta,2023,25391682.15,2401057.58,8347117.96,11963603.2,458387.54,-2369346.43,46192502.0
741,Pacitan,2023,15021272.95,423332.08,1591075.49,8324281.64,24432.58,-5893893.46,19490501.28
742,Ponorogo,2023,18275670.38,622340.8,2234886.61,6919568.41,19812.52,-2824497.06,25247781.66
743,Trenggalek,2023,16505807.73,928847.74,1958290.82,4264635.44,9557.24,-927088.41,22740050.56
744,Tulungagung,2023,33891669.72,820320.69,2767248.62,13449498.81,36882.81,-3001184.73,47964435.91
745,Blitar,2023,31191047.71,975760.78,2861656.91,12125943.36,26116.84,-2288796.51,44891729.08
746,Kediri,2023,37371279.94,1232859.33,3049885.52,16680106.49,269192.46,-7965169.49,50638154.24
747,Malang,2023,84362397.67,3300153.6,4261936.88,40880151.54,107655.65,-4539080.31,128373215.0
748,Lumajang,2023,28422570.47,474494.98,1979306.68,8616189.13,785669.01,-205453.26,40072777.01
749,Jember,2023,67203363.97,1763527.43,3781076.22,17706814.99,2179729.04,2655282.44,95289794.1
750,Banyuwangi,2023,67124859.93,1575010.59,5763800.84,31637762.81,287974.54,-5092786.16,101296622.5
751,Bondowoso,2023,19010306.6,456026.16,1855138.47,6600549.14,150203.83,-3298863.05,24773361.15
752,Situbondo,2023,18170259.54,341090.88,2085359.43,5670371.62,101212.41,-1143311.26,25224982.6
753,Probolinggo,2023,29953687.97,464558.92,2171983.5,11362163.97,104524.6,-1679994.07,42376924.9
754,Pasuruan,2023,113054668.1,1339931.79,2985460.36,56501142.8,1124891.7,11940079.28,186946174.0
755,Sidoarjo,2023,149031827.6,3159840.51,14765378.69,80377756.91,1457639.62,24905630.18,273698073.5
756,Mojokerto,2023,58356894.93,1267220.43,2245608.55,28572871.48,1021509.52,12900136.2,104364241.1
757,Jombang,2023,37682645.93,1349259.83,2967426.2,15643133.84,618167.07,-8276151.33,49984481.54
758,Nganjuk,2023,24570808.43,521280.6,2335920.03,9622879.81,617057.61,-4020998.48,33646948.0
759,Madiun,2023,17481165.4,471306.14,1802425.7,7861862.57,247953.7,-4031705.77,23833007.74
760,Magetan,2023,17570172.85,275651.78,1935128.28,5304845.03,75351.29,-2238871.87,22922277.36
761,Ngawi,2023,18106590.07,280719.2,2110924.37,5383219.34,52466.1,-1609269.67,24324649.4
762,Bojonegoro,2023,41416680.71,329314.72,2619686.65,20181053.68,213988.78,32761424.44,97522148.97
763,Tuban,2023,43838676.79,669155.89,2871749.53,29916808.11,429574.59,4134095.12,81860060.03
764,Lamongan,2023,35816162.05,1217541.62,2739204.29,15114962.25,120770.92,-6081338.56,48927302.56
765,Gresik,2023,107271835.6,1256643.47,3471628.51,41510389.26,4056810.93,18503782.13,176071089.9
766,Bangkalan,2023,20802808.49,318267.07,1975937.99,9203502.05,385543.79,-4946031.21,27740028.17
767,Sampang,2023,16413875.12,396184.83,1886390.77,6724161.82,5214.35,-1339175.28,24086651.6
768,Pamekasan,2023,14845782.37,310089.25,2103240.21,6202689.21,140414.86,-2720963.59,20881252.31
769,Sumenep,2023,30720745.23,399355.04,2571092.74,10571001.38,2087.75,-1416309.74,42847972.4
770,Kota Kediri,2023,29086684.53,341196.43,1644223.28,25583006.51,2823817.51,100271008.3,159749936.6
771,Kota Blitar,2023,5750116.9,95663.04,1563086.24,1663626.45,2593.46,-559928.73,8515157.37
772,Kota Malang,2023,63645884.85,511585.49,2415861.28,32919945.33,745063.66,-7184905.77,93053434.84
773,Kota Probolinggo,2023,10460408.48,243473.73,1239655.74,2487573.87,16383.93,-151024.4,14296471.35
774,Kota Pasuruan,2023,7460681.92,292067.36,1051122.07,2115144.95,2100.65,-521228.65,10399888.3
775,Kota Mojokerto,2023,6004657.7,75126.7,1089460.58,2713435.6,366.07,-1844389.46,8038657.18
776,Kota Madiun,2023,12629632.51,211734.08,1235292.44,3670606.29,258320.75,-749356.13,17256229.94
