Job Title,Company Name,Location,URL,Company Location,company size,Industry_stats,Job Qualifications,Job Skills,Job Skills,Job Skills,Profile,Skills,Type,Work Hours,,
"Senior Analyst, Key Account Management-Surabaya",Lazada,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4018199570&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Muarajawa, East Kalimantan, Indonesia","5,001-10,000 employees","Technology, Information and Internet  5,001-10,000 employees   20,756 on LinkedIn","Analytical Skills, Communication, Business Insights, Key Account Management, Key Accounts, Market Data, Negotiation, New Business Opportunities, Sales Target Management, Strategic Accounts","Skills: Negotiation, Communication, +8 more","Analytical Skills, Business Insights, Communication, Key Account Management, Key Accounts, Market Data, Negotiation, New Business Opportunities, Sales Target Management, and Strategic Accounts",Try Premium for IDR0,Lazada,"Analytical Skills, Business Insights, Communication, Key Account Management, Key Accounts, Market Data, Negotiation, New Business Opportunities, Sales Target Management, and Strategic Accounts",On-site,Full-time,,
Network Data Analyst,PT XL Axiata Tbk,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4001436716&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Jakarta, Indonesia","1,001-5,000 employees","Telecommunications  1,001-5,000 employees   2,827 on LinkedIn","Data Analytics, Data Modeling, Data Science, Data Visualization, Critical Thinking, Data Architecture, Data Models, Information Graphics, Presentations, Technical Proficiency",1 school alum works here,"Critical Thinking, Data Analytics, Data Architecture, Data Modeling, Data Models, Data Science, Data Visualization, Information Graphics, Presentations, and Technical Proficiency","Skills: Data Architecture, Data Science, +8 more",PT XL Axiata Tbk,"Critical Thinking, Data Analytics, Data Architecture, Data Modeling, Data Models, Data Science, Data Visualization, Information Graphics, Presentations, and Technical Proficiency",On-site,Full-time,,
Data & Analytics (Sharia),Prudential Indonesia (PT Prudential Life Assurance),5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017994509&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"South Jakarta, Jakarta, Indonesia","1,001-5,000 employees","Insurance  1,001-5,000 employees   11,478 on LinkedIn",Analytics,2 school alumni work here,Analytics,Skills: Analytics,Prudential Indonesia (PT Prudential Life Assurance),Analytics,Hybrid,Full-time,,
"Domain Consultant - Cortex, Indonesia",Palo Alto Networks,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4008206932&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,Jakarta Metropolitan Area,"10,001+ employees","Computer and Network Security  10,001+ employees   16,345 on LinkedIn","Cortex, Customer Experience Management, Customer-Focused Selling, Cyber Threat Hunting (CTH), Embraces Change, High-Level Design, Level Design, Problem Finding, Security Information and Event Management (SIEM), Value Realization","Skills: Problem Finding, High-Level Design, +8 more","Customer Experience Management, Cyber Threat Hunting (CTH), Embraces Change, High-Level Design, Level Design, Palo Alto Networks, Problem Finding, Security Information and Event Management (SIEM), Systematic Approach, and Value Realization",Try Premium for IDR0,Palo Alto Networks,"Customer Experience Management, Cyber Threat Hunting (CTH), Embraces Change, High-Level Design, Level Design, Palo Alto Networks, Problem Finding, Security Information and Event Management (SIEM), Systematic Approach, and Value Realization",On-site,Full-time,,
Data Architect,CIMB Niaga,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3943333431&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Tangerang, Banten, Indonesia","10,001+ employees","Banking  10,001+ employees   11,722 on LinkedIn",Databases and Hadoop,7 school alumni work here,Databases and Hadoop,"Skills: Hadoop, Databases",CIMB Niaga,Databases and Hadoop,On-site,Full-time,,
Search Quality Rater - Indonesia,RWS Group,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4008271945&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,Indonesia,"5,001-10,000 employees","Translation and Localization  5,001-10,000 employees   8,153 on LinkedIn","Communication, Teamwork, English, Online Research","Skills: Online Research, Communication, +2 more","Communication, English, Online Research, and Teamwork",Try Premium for IDR0,RWS Group,"Communication, English, Online Research, and Teamwork",Remote,Part-time,,
"Regional Domain Consultant - Cortex, Indonesia",Palo Alto Networks,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4008294046&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,Jakarta Metropolitan Area,"10,001+ employees","Computer and Network Security  10,001+ employees   16,345 on LinkedIn","Customer Experience Management, Cyber Threat Hunting (CTH), EDR, Embraces Change, High-Level Design, Level Design, Problem Finding, Security Incident Response, Security Information and Event Management (SIEM), Value Realization","Skills: Problem Finding, High-Level Design, +8 more","Customer Experience Management, Cyber Threat Hunting (CTH), EDR, Embraces Change, High-Level Design, Level Design, Problem Finding, Security Incident Response, Security Information and Event Management (SIEM), and Value Realization",Try Premium for IDR0,Palo Alto Networks,"Customer Experience Management, Cyber Threat Hunting (CTH), EDR, Embraces Change, High-Level Design, Level Design, Problem Finding, Security Incident Response, Security Information and Event Management (SIEM), and Value Realization",On-site,Full-time,,
Data Contributor,TransPerfect,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3960232487&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Bekasi, West Java, Indonesia","5,001-10,000 employees","Translation and Localization  5,001-10,000 employees   11,672 on LinkedIn","Data Entry, Email, Information Technology, and Spam Filtering","Skills: Data Entry, Spam Filtering, +2 more","Data Entry, Email, Information Technology, and Spam Filtering",Try Premium for IDR0,TransPerfect,"Data Entry, Email, Information Technology, and Spam Filtering",Remote,Contract,,
"Psychometrician, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017078649&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Denpasar, Bali, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Artificial Intelligence (AI), Content Development, Educational Assessment, Educational Measurement, Generative AI, Item Response Theory, Psychometrics, Relevance, Rubrics, Test Design","Skills: Educational Measurement, Item Response Theory, +8 more","Artificial Intelligence (AI), Content Development, Educational Assessment, Educational Measurement, Generative AI, Item Response Theory, Psychometrics, Relevance, Rubrics, and Test Design",Try Premium for IDR0,Crossover,"Artificial Intelligence (AI), Content Development, Educational Assessment, Educational Measurement, Generative AI, Item Response Theory, Psychometrics, Relevance, Rubrics, and Test Design",$50/hr,Remote,,
Advanced Analysis Engineer Level I (Contract Based),Worley,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3956771659&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Jakarta, Indonesia","10,001+ employees","Professional Services  10,001+ employees   43,383 on LinkedIn","Communication, Abaqus, Computational Fluid Dynamics (CFD), Computer Software Training, Computer-Aided Engineering (CAE), Finite Element Analysis (FEA), Mathematical Modeling, Presales, Presentations, Software Sales","Skills: Computational Fluid Dynamics (CFD), Computer-Aided Engineering (CAE), +8 more","Abaqus, Communication, Computational Fluid Dynamics (CFD), Computer Software Training, Computer-Aided Engineering (CAE), Finite Element Analysis (FEA), Mathematical Modeling, Modeling and Simulation, Presentations, and Software Sales",Try Premium for IDR0,Worley,"Abaqus, Communication, Computational Fluid Dynamics (CFD), Computer Software Training, Computer-Aided Engineering (CAE), Finite Element Analysis (FEA), Mathematical Modeling, Modeling and Simulation, Presentations, and Software Sales",Hybrid,Full-time,,
Senior Database Engineer – (Product Support Team – PostgreSQL) (Bangkok based),Agoda,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3945927535&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Bali, Indonesia","5,001-10,000 employees","Software Development  5,001-10,000 employees   9,877 on LinkedIn","Data Modeling, Database Development, SQL, Data Architecture, Database Design, Databases, PostgreSQL, Query Optimization, Query Writing, Stored Procedures","Skills: Database Development, Stored Procedures, +8 more","Data Architecture, Data Modeling, Database Design, Database Development, Databases, PostgreSQL, Query Optimization, Query Writing, SQL, and Stored Procedures",Try Premium for IDR0,Agoda,"Data Architecture, Data Modeling, Database Design, Database Development, Databases, PostgreSQL, Query Optimization, Query Writing, SQL, and Stored Procedures",Hybrid,Full-time,,
Software Engineer,PT Salam Pacific Indonesia Lines,5 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4013930965&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=50,"Surabaya, East Java, Indonesia","1,001-5,000 employees","Transportation, Logistics, Supply Chain and Storage  1,001-5,000 employees   1,289 on LinkedIn","Computer Science, JavaScript, Linux, Mobile Application Development, Mobile Applications, PHP, Programming, Relational Databases, SQL, and Web Applications",11 school alumni work here,Bachelor's Degree,"Skills: Mobile Applications, Mobile Application Development, +8 more",PT Salam Pacific Indonesia Lines,Bachelor's Degree,On-site,Full-time,,
.Net C# Developer,National Training Pty Ltd,Indonesia,https://www.linkedin.com/jobs/search/?currentJobId=3986143391&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,Indonesia,11-50 employees,E-Learning Providers  11-50 employees   10 on LinkedIn,"ASP.NET Core, ASP.NET MVC, Amazon Web Services (AWS), C#, Entity Framework (EF) Core, GitHub, Microsoft SQL Server, and Vue.js","Skills: ASP.NET Core, Vue.js, +6 more",2+ years of work experience with ASP.NET Core,Try Premium for IDR0,National Training Pty Ltd,2+ years of work experience with ASP.NET Core,Remote,Full-time,,
Technical Recruiter,XYZ GOAT,Indonesia,https://www.linkedin.com/jobs/search/?currentJobId=4016494699&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,Indonesia,11-50 employees,Software Development  11-50 employees   231 on LinkedIn,"Human Resources (HR), Interviewing, Negotiation, Networking, Onboarding, Recruiting, Screening, Social Media, Sourcing, and Technical Recruiting","Skills: Human Resources (HR), Networking, +8 more",Can start immediately,Try Premium for IDR0,XYZ GOAT,Can start immediately,Remote,,,
Electrical Engineer – Renewable Energy,WEnergy Global Pte Ltd,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=4016497335&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",11-50 employees,Renewable Energy Power Generation  11-50 employees   27 on LinkedIn,"AutoCAD, Control Systems Design, Electrical Design, Electrical Engineering, IEC, IEEE, PVSyst, Power Distribution, Power Generation, and Project Design","Skills: Control Systems Design, AutoCAD, +8 more",3+ years of experience in Engineering,Try Premium for IDR0,WEnergy Global Pte Ltd,3+ years of experience in Engineering,On-site,Full-time,,
Sales Engineer,AVSystem,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=4005602031&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",201-500 employees,Software Development  201-500 employees   192 on LinkedIn,"Customer Support, IP Networking, Internet Protocol Suite (TCP/IP), Linux, Networking, Post-Sales, Pre/Post Sales Engineers, Product Demonstration, Python (Programming Language), Sales Engineering, and Technical Support","Skills: Internet Protocol Suite (TCP/IP), Python (Programming Language), +9 more",Professional in English,Try Premium for IDR0,AVSystem,Professional in English,Hybrid,Contract,,
"UX/UI Engineer, Web3",Holdex,Indonesia,https://www.linkedin.com/jobs/search/?currentJobId=4007646471&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,Indonesia,2-10 employees,Software Development  2-10 employees   14 on LinkedIn,"Design Engineering, Figma (Software), Front-End Design, Front-end Engineering, JavaScript, Product Design, TypeScript, User Experience Design (UED), User Interface Design, and Web Design","Skills: TypeScript, Web Design, +8 more","Design Engineering, Figma (Software), Front-End Design, Front-end Engineering, JavaScript, Product Design, TypeScript, User Experience Design (UED), User Interface Design, and Web Design",Try Premium for IDR0,Holdex,"Design Engineering, Figma (Software), Front-End Design, Front-end Engineering, JavaScript, Product Design, TypeScript, User Experience Design (UED), User Interface Design, and Web Design",Remote,Full-time,,
Cloud Engineer,Deep Symbolics,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=4007749217&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",2-10 employees,IT Services and IT Consulting  2-10 employees   2 on LinkedIn,"Amazon Web Services (AWS), Ansible, Cloud Infrastructure, Continuous Integration and Continuous Delivery (CI/CD), Gitlab, IT Security Best Practices, Infrastructure as code (IaC), Jenkins, Python (Programming Language), and Terraform","Skills: Continuous Integration and Continuous Delivery (CI/CD), Cloud Infrastructure, +8 more",1+ years of work experience with Cloud Infrastructure,Try Premium for IDR0,Deep Symbolics,1+ years of work experience with Cloud Infrastructure,Hybrid,Full-time,,
Senior Full Stack Cloud Developer (PHP/Laravel/VueJS/Docker/AWS-GCP/SQL),Tramigo,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=4011196450&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",51-200 employees,Telecommunications  51-200 employees   102 on LinkedIn,"Amazon Web Services (AWS), Cascading Style Sheets (CSS), Docker Products, Full-Stack Development, Google Cloud Platform (GCP), Laravel, MySQL, PHP, PostgreSQL, and Vue.js","Skills: PostgreSQL, MySQL, +8 more",Professional in English,Try Premium for IDR0,Tramigo,Professional in English,Remote,Full-time,,
Full Stack Engineer,HealthProtect+,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=3920679631&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",11-50 employees,Home Health Care Services  11-50 employees   4 on LinkedIn,"Automation, Back-end Operations, Cloud Computing, Continuous Integration and Continuous Delivery (CI/CD), Databases, Front-End Development, Full-Stack Development, Java, Scripting, Virtual Machines, and jQuery","Skills: Continuous Integration and Continuous Delivery (CI/CD), Scripting, +9 more",Bachelor's Degree,Try Premium for IDR0,HealthProtect+,Bachelor's Degree,On-site,Full-time,,
Early Childhood Brain Training Coach,BrainFit Indonesia,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=4018000767&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",Loading job details,,"Coaching, Cognitive Behavioral Therapy (CBT), Cognitive Neuroscience, Cognitive Science, Early Childhood Development, Education, Neuroscience, Psychology, Teaching, Working with Children","Skills: Cognitive Behavioral Therapy (CBT), Neuroscience, +7 more",,Try Premium for IDR0,,,On-site,Full-time,,
Senior Backend Engineer,Cosmart,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4006410047&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",11-50 employees,Retail  11-50 employees   60 on LinkedIn,"Amazon Web Services (AWS), Cloud Services, Computer Science, Continuous Integration and Continuous Delivery (CI/CD), Google Cloud Platform (GCP), MongoDB, NoSQL, RDBMS, SQL, and Skill Development","Skills: RDBMS, MongoDB, +8 more",3+ years of experience in Engineering,Try Premium for IDR0,Cosmart,3+ years of experience in Engineering,Hybrid,Full-time,,
Full Stack Engineer,Clems Grafter Creative,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4013041812&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Tangerang, Banten, Indonesia",2-10 employees,"Technology, Information and Media  2-10 employees   2 on LinkedIn","ASP.NET, C (Programming Language), C#, Cascading Style Sheets (CSS), Communication, Computer Engineering, Computer Science, Databases, HTML, JavaScript, Software Development, and Technical Skillset","Skills: ASP.NET, C (Programming Language), +10 more",1+ years of work experience with JavaScript,Try Premium for IDR0,Clems Grafter Creative,1+ years of work experience with JavaScript,Hybrid,Full-time,,
Medical Affairs Manager,Taiho Pharma Asia Pacific Pte. Ltd.,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3992286142&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",11-50 employees,Pharmaceutical Manufacturing  11-50 employees   37 on LinkedIn,"Business Insights, Clinical Trials, Communication, English, Medical Affairs, Medical Review, Project Management, Strategic Thinking, and Team Leadership","Skills: English, Business Insights, +7 more","Business Insights, Clinical Trials, Communication, English, Medical Affairs, Medical Review, Project Management, Strategic Thinking, and Team Leadership",Try Premium for IDR0,Taiho Pharma Asia Pacific Pte. Ltd.,"Business Insights, Clinical Trials, Communication, English, Medical Affairs, Medical Review, Project Management, Strategic Thinking, and Team Leadership",On-site,Full-time,,
Sales Engineer,PT. Cistech Alpha Indonesia,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4007754464&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",11-50 employees,Industrial Machinery Manufacturing  11-50 employees   10 on LinkedIn,Predictive Maintenance and Sales Engineering,"Skills: Sales Engineering, Predictive Maintenance",Professional in English,Try Premium for IDR0,PT. Cistech Alpha Indonesia,Professional in English,On-site,Full-time,,
Manager - Artificial Intelligence & Data - Financial Services - ID,Deloitte,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4009869119&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,Jakarta Metropolitan Area,,,,2 school alumni work here,,"Skills: Scala, Project Finance, +8 more",,,On-site,Full-time,,
"Luxury Authentication Team Lead, APAC",Entrupy,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017391661&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",51-200 employees,Software Development  51-200 employees   111 on LinkedIn,,"Skills: Digital Authentication, Luxury, +8 more","Business Analytics, Communication, Cross-functional Collaborations, Digital Authentication, Luxury, Operations Management, Performance Analysis, Quality Control, Service-Level Agreements (SLA), and Team Leadership",Try Premium for IDR0,Entrupy,"Business Analytics, Communication, Cross-functional Collaborations, Digital Authentication, Luxury, Operations Management, Performance Analysis, Quality Control, Service-Level Agreements (SLA), and Team Leadership",On-site,Full-time,,
Lead Data Engineer,Grab,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4009840352&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,Jakarta Metropolitan Area,"5,001-10,000 employees","Software Development  5,001-10,000 employees   47,064 on LinkedIn",,2 school alumni work here,"Communication, Data Engineering, Data Modeling, Data Pipelines, Data Science, Data Validation, Data Warehousing, Extract, Transform, Load (ETL), Real-time Data, and Scala","Skills: Extract, Transform, Load (ETL), Data Engineering, +8 more",Grab,"Communication, Data Engineering, Data Modeling, Data Pipelines, Data Science, Data Validation, Data Warehousing, Extract, Transform, Load (ETL), Real-time Data, and Scala",Hybrid,Full-time,,
Data Science Specialist,PT. Mowilex,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3998725784&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia","1,001-5,000 employees","Wholesale Building Materials  1,001-5,000 employees   491 on LinkedIn",Data Science and SQL,"Skills: Data Science, SQL",1+ years of work experience with Data Science,Try Premium for IDR0,PT. Mowilex,1+ years of work experience with Data Science,On-site,Full-time,,
CVM Data Science - 50091920,PT XL Axiata Tbk,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4015926521&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia","1,001-5,000 employees","Telecommunications  1,001-5,000 employees   2,827 on LinkedIn",,1 school alum works here,"Agile Leadership, Business Insights, Customer Data, Data Analytics, Data Science, Mathematics, Natural Language Processing (NLP), Soft Skills, Statistics, and Strata","Skills: Data Science, Agile Leadership, +8 more",PT XL Axiata Tbk,"Agile Leadership, Business Insights, Customer Data, Data Analytics, Data Science, Mathematics, Natural Language Processing (NLP), Soft Skills, Statistics, and Strata",On-site,Full-time,,
"Software Engineer, Data (ML Engineer)",Kredivo Group,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3952661885&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia","1,001-5,000 employees","Financial Services  1,001-5,000 employees   1,617 on LinkedIn","Data Science, Data Structures, Hadoop, Keras, Machine Learning, PostgreSQL, PyTorch, Python (Programming Language), SQL, and TensorFlow","Skills: Keras, Data Science, +8 more","Data Science, Data Structures, Hadoop, Keras, Machine Learning, PostgreSQL, PyTorch, Python (Programming Language), SQL, and TensorFlow",Try Premium for IDR0,Kredivo Group,"Data Science, Data Structures, Hadoop, Keras, Machine Learning, PostgreSQL, PyTorch, Python (Programming Language), SQL, and TensorFlow",Hybrid,Full-time,,
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017074909&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Bandung, West Java, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js","Skills: Svelte, Flask, +8 more","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Try Premium for IDR0,Crossover,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",$50/hr,Remote,,
Data Scientist,StickEarn,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4005880938&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Gambir, Jakarta, Indonesia",51-200 employees,Advertising Services  51-200 employees   207 on LinkedIn,"Algorithms, Data Manipulation, Data Science, Data Visualization, Image Editing, Machine Learning, NumPy, Pandas (Software), Pattern Recognition, Time Series Analysis","Skills: Data Manipulation, Pandas (Software), +8 more","Algorithms, Data Manipulation, Data Science, Data Visualization, Image Editing, Machine Learning, NumPy, Pandas (Software), Pattern Recognition, and Time Series Analysis",Try Premium for IDR0,StickEarn,"Algorithms, Data Manipulation, Data Science, Data Visualization, Image Editing, Machine Learning, NumPy, Pandas (Software), Pattern Recognition, and Time Series Analysis",On-site,Full-time,,
Data Scientist,StickEarn,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4005880938&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Gambir, Jakarta, Indonesia",51-200 employees,Advertising Services  51-200 employees   207 on LinkedIn,"Algorithms, Data Manipulation, Data Science, Data Visualization, Image Editing, Machine Learning, NumPy, Pandas (Software), Pattern Recognition, Time Series Analysis","Skills: Data Manipulation, Pandas (Software), +8 more","Algorithms, Data Manipulation, Data Science, Data Visualization, Image Editing, Machine Learning, NumPy, Pandas (Software), Pattern Recognition, and Time Series Analysis",Try Premium for IDR0,StickEarn,"Algorithms, Data Manipulation, Data Science, Data Visualization, Image Editing, Machine Learning, NumPy, Pandas (Software), Pattern Recognition, and Time Series Analysis",On-site,Full-time,,
"Product Manager Open Platform: Specific from Hardware Company- Networking-Wireless Router / Graphics Card, Power Supply and other accesories",ASUS,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4007756016&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia","10,001+ employees","Computer Hardware Manufacturing  10,001+ employees   16,019 on LinkedIn","Computer Hardware, Fast-Moving Consumer Goods (FMCG) Sales, Market Research, and Software Project Management","Skills: Fast-Moving Consumer Goods (FMCG) Sales, Market Research, +2 more",Bachelor's Degree,Try Premium for IDR0,ASUS,Bachelor's Degree,On-site,Full-time,,
Business Development Manager,INDODAX - Indonesia Digital Asset Exchange,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4009341692&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"South Jakarta, Jakarta, Indonesia",51-200 employees,Financial Services  51-200 employees   824 on LinkedIn,"Business Development, Communication, Cryptocurrency, FinTech, Sales, Sales Operations, and Sales Processes","Skills: Sales, Sales Processes, +5 more",3+ years of work experience with Cryptocurrency,Try Premium for IDR0,INDODAX - Indonesia Digital Asset Exchange,3+ years of work experience with Cryptocurrency,On-site,Full-time,,
Spesialis Pengolah Data (Data Scientist Phyton),PT. RAKHASA ARTHA WISESA,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4002865584&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Jakarta, Indonesia",11-50 employees,Information Technology & Services  11-50 employees   31 on LinkedIn,"Asterisk (PBX), Computer Science, Data Analytics, Data Engineering, Data Science, Matplotlib, Natural Language Processing (NLP), Pandas (Software), Predictive Analytics, R (Programming Language)","Skills: Asterisk (PBX), Predictive Analytics, +8 more","Asterisk (PBX), Computer Science, Data Analytics, Data Engineering, Data Science, Matplotlib, Natural Language Processing (NLP), Pandas (Software), Predictive Analytics, and R (Programming Language)",Try Premium for IDR0,PT. RAKHASA ARTHA WISESA,"Asterisk (PBX), Computer Science, Data Analytics, Data Engineering, Data Science, Matplotlib, Natural Language Processing (NLP), Pandas (Software), Predictive Analytics, and R (Programming Language)",On-site,Full-time,,
Data Scientist,iZeno,9 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4012115455&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=75,"Jakarta, Indonesia",201-500 employees,IT Services and IT Consulting  201-500 employees   202 on LinkedIn,,"Skills: Data Mining, Python (Programming Language), +8 more",,Try Premium for IDR0,iZeno,,Hybrid,Full-time,,
