Job Title,Company Name,Location,URL,Company Location,company size,Industry_stats,Job Qualifications,Job Skills,Job Skills,Job Skills,Profile,Skills,Type,Work Hours,,
GoTo Financial - Data Scientist Intern - Indonesia,GoTo Group,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3992117571&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Jakarta, Indonesia","10,001+ employees","Software Development  10,001+ employees   20,519 on LinkedIn","Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, Technical Documentation",3 school alumni work here,"Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, and Technical Documentation","Skills: PyTorch, Deep Learning, +8 more",GoTo Group,"Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, and Technical Documentation",On-site,Full-time,,
Data Scientist,Samsung Electronics,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4007781153&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Cikarang Barat, West Java, Indonesia","10,001+ employees","Computers and Electronics Manufacturing  10,001+ employees   136,780 on LinkedIn","Analytics, Data Science, English, Industrial Automation, Manufacturing Processes, Programming Languages, and Python (Programming Language)",3 school alumni work here,Bachelor's Degree,"Skills: Data Science, Python (Programming Language), +5 more",Samsung Electronics,Bachelor's Degree,On-site,Contract,,
Analys Programmer,PT Usaha Gedung Mandiri,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4013459022&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Jakarta Metropolitan Area,"1,001-5,000 employees","Facilities Services  1,001-5,000 employees   385 on LinkedIn","Computer Engineering, Computer Science, Databases, Git, JavaScript, Programming, Programming Languages, Python (Programming Language), SQL, SQL Database Administration, Software Development, Web Applications, and jQuery",1 school alum works here,1+ years of work experience with JavaScript,"Skills: jQuery, Web Applications, +11 more",PT Usaha Gedung Mandiri,1+ years of work experience with JavaScript,On-site,Full-time,,
Data Contributor,TransPerfect,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3960228593&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Surabaya, East Java, Indonesia","5,001-10,000 employees","Translation and Localization  5,001-10,000 employees   11,672 on LinkedIn","Data Entry, Email, Information Technology, and Spam Filtering","Skills: Data Entry, Spam Filtering, +2 more","Data Entry, Email, Information Technology, and Spam Filtering",Try Premium for IDR0,TransPerfect,"Data Entry, Email, Information Technology, and Spam Filtering",Remote,Contract,,
Data Scientist,Bank Maybank Indonesia,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4003664133&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Indonesia",,,C++ and Python (Programming Language),"Skills: C++, Python (Programming Language)",5+ years of work experience with C++,Try Premium for IDR0,,5+ years of work experience with C++,On-site,Full-time,,
Data Scientist - Experimentation,Traveloka,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3919849049&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, Technical Requirements

",3 school alumni work here,"Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, and Technical Requirements","Skills: Data Science, Interpersonal Communication, +8 more",Traveloka,"Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, and Technical Requirements",On-site,Full-time,,
Research And Development Scientist Manager,Hormel Pronas Nusantara,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017792626&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Batang, Central Java, Indonesia",2-10 employees,Food and Beverage Manufacturing  2-10 employees   5 on LinkedIn,"Cost-Benefit Analysis, Formulation, Meat, Product Evaluations, and Research and Development (R&D)","Skills: Meat, Research and Development (R&D), +3 more",Bachelor's Degree,Try Premium for IDR0,Hormel Pronas Nusantara,Bachelor's Degree,On-site,Full-time,,
GoTo Financial - Data Scientist Intern,GoTo Group,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3962932342&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Jakarta, Indonesia","10,001+ employees","Software Development  10,001+ employees   20,519 on LinkedIn","Analytical Solutions, Communication, Data Science, Machine Learning, Predictive Analytics, Problem Solving, Python (Programming Language), R (Programming Language), Statistics, Technical Documentation",3 school alumni work here,"Analytical Solutions, Communication, Data Science, Machine Learning, Predictive Analytics, Problem Solving, Python (Programming Language), R (Programming Language), Statistics, and Technical Documentation","Skills: R (Programming Language), Statistics, +8 more",GoTo Group,"Analytical Solutions, Communication, Data Science, Machine Learning, Predictive Analytics, Problem Solving, Python (Programming Language), R (Programming Language), Statistics, and Technical Documentation",On-site,Internship,,
Data Scientist,Traveloka,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3982926334&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Business Requirements, Communication, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Scikit-Learn, Technical Specs, TensorFlow, XGBoost",3 school alumni work here,,"Skills: Data Science, Data Manipulation, +8 more",Traveloka,,On-site,Full-time,,
Data Science,PT United Tractors Tbk,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3977667934&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Cilincing, Jakarta, Indonesia","1,001-5,000 employees","Machinery Manufacturing  1,001-5,000 employees   3,810 on LinkedIn","Analytics, Artificial Intelligence (AI), Communication, Data Engineering, Data Science, Data Visualization, Natural Language Processing (NLP), Problem Solving, Statistics, Visualization",2 school alumni work here,"Analytics, Artificial Intelligence (AI), Communication, Data Engineering, Data Science, Data Visualization, Natural Language Processing (NLP), Problem Solving, Statistics, and Visualization","Skills: Communication, Data Science, +8 more",PT United Tractors Tbk,"Analytics, Artificial Intelligence (AI), Communication, Data Engineering, Data Science, Data Visualization, Natural Language Processing (NLP), Problem Solving, Statistics, and Visualization",On-site,Full-time,,
